month,消費電力量,PV発電量,PV使用量,PV抑制量,買電量,平均SOC,最大買電電力
1,40195.0,20860.0,20860.0,-0.0,19726.01,399.1,38.55099437583349
2,36671.0,25254.0,25254.0,0.0,12360.25,403.81,29.726050678454897
3,49038.0,32398.0,32398.0,-0.0,16725.53,414.84,55.55569463785575
4,54890.0,26646.0,26646.0,0.0,29158.83,445.64,73.0450088799264
5,66616.0,27079.0,27079.0,-0.0,40037.75,475.46,105.04484126984124
6,77588.0,24833.0,24833.0,0.0,53090.25,418.62,121.789208110573
7,111215.0,25616.0,25616.0,-0.0,86298.04,448.32,193.69302763471228
8,118228.0,18807.0,18807.0,0.0,99737.91,416.88,201.59744941352525
9,90874.0,24871.0,24871.0,0.0,66432.34,406.01,158.1622219406269
10,72491.0,22019.0,22019.0,-0.0,51061.45,402.74,150.0
11,49925.0,19486.0,19486.0,-0.0,30913.98,373.73,70.19661403714701
12,45251.0,19764.0,19764.0,-0.0,25796.45,405.98,45.42911409645329
