month,消費電力量,PV発電量,PV使用量,PV抑制量,買電量,平均SOC,最大買電電力
1,40195.0,20860.0,20860.0,-0.0,19839.85,284.79,44.45901473189176
2,36671.0,25254.0,24445.97,808.03,12860.26,275.82,37.47830190750051
3,49038.0,32398.0,31613.55,784.45,17760.14,265.24,73.77772499568147
4,54890.0,26646.0,26492.84,153.16,29007.68,271.6,86.6806886019714
5,66616.0,27079.0,27077.87,1.13,39932.88,265.31,127.05235760090532
6,77588.0,24833.0,24833.0,0.0,53335.23,258.21,137.10263316237362
7,111215.0,25616.0,25616.0,0.0,86141.45,261.13,196.93858548760457
8,118228.0,18807.0,18807.0,-0.0,99739.19,245.83,211.41366196304992
9,90874.0,24871.0,24871.0,-0.0,66426.08,234.54,173.45069515160336
10,72491.0,22019.0,22019.0,-0.0,51079.55,241.76,160.24293476441778
11,49925.0,19486.0,19486.0,-0.0,30830.23,234.81,81.13038778543441
12,45251.0,19764.0,19764.0,-0.0,25785.34,259.15,53.26397097858787
