month,消費電力量,PV発電量,PV使用量,PV抑制量,買電量,平均SOC,最大買電電力
1,40195.0,20860.0,17968.69,2891.31,22557.01,116.52,51.73559087697544
2,36671.0,25254.0,19085.4,6168.6,17936.58,112.2,48.32953991220944
3,49038.0,32398.0,25807.49,6590.51,23469.37,105.34,65.14509367029231
4,54890.0,26646.0,23452.7,3193.3,31878.16,104.76,106.98173423388296
5,66616.0,27079.0,25957.04,1121.96,41005.51,98.33,109.93599618362336
6,77588.0,24833.0,24589.18,243.82,53342.06,105.82,158.4706704344316
7,111215.0,25616.0,25614.27,1.73,86014.36,111.54,186.4966466831516
8,118228.0,18807.0,18807.0,0.0,99726.38,101.59,198.01361156083237
9,90874.0,24871.0,24863.89,7.11,66339.74,101.41,175.24663583157457
10,72491.0,22019.0,21454.43,564.57,51530.32,94.97,154.87663068852828
11,49925.0,19486.0,18374.89,1111.11,31833.91,105.68,79.53334423014056
12,45251.0,19764.0,18563.68,1200.32,26916.62,108.85,61.14217105933376
