month,消費電力量,PV発電量,PV使用量,PV抑制量,買電量,平均SOC,最大買電電力
1,40195.0,20860.0,20860.0,-0.0,19543.7,370.99,40.90215513685505
2,36671.0,25254.0,25254.0,0.0,12416.55,401.55,29.539630574594145
3,49038.0,32398.0,32398.0,-0.0,16763.54,422.34,77.40681562640023
4,54890.0,26646.0,26646.0,0.0,29066.93,437.78,88.4732933552594
5,66616.0,27079.0,27079.0,0.0,40163.3,458.74,163.069387755102
6,77588.0,24833.0,24833.0,-0.0,53060.48,431.91,116.7996349670239
7,111215.0,25616.0,25616.0,-0.0,86266.96,504.05,220.0159655699014
8,118228.0,18807.0,18807.0,0.0,99801.92,450.23,221.64830975232871
9,90874.0,24871.0,24871.0,0.0,66714.84,461.12,198.71066992360068
10,72491.0,22019.0,22019.0,-0.0,50895.35,439.55,160.24293476441778
11,49925.0,19486.0,19486.0,-0.0,30842.76,295.92,81.13038778543441
12,45251.0,19764.0,19764.0,-0.0,25796.28,316.71,52.04697289416407
