month,消費電力量,PV発電量,PV使用量,PV抑制量,買電量,平均SOC,最大買電電力
1,40195.0,20860.0,20785.9,74.1,19859.11,233.78,46.918292082849334
2,36671.0,25254.0,23209.39,2044.61,13993.97,219.92,40.14392406177133
3,49038.0,32398.0,30277.88,2120.12,19044.89,210.6,66.3285063939789
4,54890.0,26646.0,26039.54,606.46,29464.88,215.23,92.24845834041702
5,66616.0,27079.0,26894.29,184.71,40101.01,207.9,117.91434326700428
6,77588.0,24833.0,24833.0,-0.0,53281.28,211.74,144.2122675250358
7,111215.0,25616.0,25616.0,-0.0,86071.6,210.29,191.30087533019113
8,118228.0,18807.0,18807.0,-0.0,99747.82,204.1,201.39888766248384
9,90874.0,24871.0,24871.0,-0.0,66417.31,190.77,167.75135722041264
10,72491.0,22019.0,22017.9,1.1,51056.54,195.28,160.24293476441778
11,49925.0,19486.0,19485.9,0.1,30826.34,204.23,81.13038778543441
12,45251.0,19764.0,19764.0,-0.0,25757.85,215.87,57.55613165811362
