month,消費電力量,PV発電量,PV使用量,PV抑制量,買電量,平均SOC,最大買電電力
1,40195.0,20860.0,20860.0,-0.0,19828.03,318.69,42.7222483265563
2,36671.0,25254.0,25121.68,132.32,12296.97,323.74,34.9378314786073
3,49038.0,32398.0,32103.78,294.22,17229.94,312.62,77.40681562640025
4,54890.0,26646.0,26604.35,41.65,28942.65,319.37,90.7340290238846
5,66616.0,27079.0,27079.0,-0.0,39922.58,317.91,135.79667806730788
6,77588.0,24833.0,24833.0,-0.0,53353.94,295.79,131.27172061834264
7,111215.0,25616.0,25616.0,-0.0,86181.18,303.66,200.7343750676501
8,118228.0,18807.0,18807.0,-0.0,99756.29,284.22,211.99999999999997
9,90874.0,24871.0,24871.0,-0.0,66560.3,278.75,183.0737130863069
10,72491.0,22019.0,22019.0,-0.0,50979.42,286.82,160.24293476441778
11,49925.0,19486.0,19486.0,-0.0,30837.34,254.08,81.13038778543441
12,45251.0,19764.0,19764.0,0.0,25795.42,279.99,52.04697289416407
