month,消費電力量,PV発電量,PV使用量,PV抑制量,買電量,平均SOC,最大買電電力
1,40195.0,20860.0,20860.0,0.0,19351.88,403.17,40.21697726351207
2,36671.0,25254.0,25254.0,-0.0,12416.55,423.05,29.539630574594145
3,49038.0,32398.0,32398.0,-0.0,16763.54,443.88,77.40681562640023
4,54890.0,26646.0,26642.0,4.0,29032.91,459.56,88.4732933552594
5,66616.0,27079.0,27079.0,-0.0,40163.36,480.33,168.4707205331112
6,77588.0,24833.0,24833.0,-0.0,53065.28,459.3,114.22277587817968
7,111215.0,25616.0,25616.0,-0.0,86266.09,565.48,227.626924915314
8,118228.0,18807.0,18807.0,0.0,99807.24,484.79,221.64830975232871
9,90874.0,24871.0,24871.0,0.0,66721.38,522.15,198.71066992360068
10,72491.0,22019.0,22019.0,-0.0,50907.87,476.05,160.24293476441778
11,49925.0,19486.0,19486.0,-0.0,30842.35,317.36,81.13038778543442
12,45251.0,19764.0,19764.0,-0.0,25796.28,338.22,52.04697289416407
