month,消費電力量,PV発電量,PV使用量,PV抑制量,買電量,平均SOC,最大買電電力
1,40195.0,20860.0,20860.0,-0.0,19703.41,414.06,38.55099437583348
2,36671.0,25254.0,25254.0,-0.0,12341.78,413.58,29.726050678454904
3,49038.0,32398.0,32398.0,-0.0,16706.37,411.97,60.578391281016955
4,54890.0,26646.0,26646.0,0.0,29296.11,454.39,85.98707290546238
5,66616.0,27079.0,27079.0,-0.0,39806.69,479.64,93.97219527215054
6,77588.0,24833.0,24833.0,0.0,53023.6,417.85,146.58856483769978
7,111215.0,25616.0,25616.0,-0.0,86398.01,463.08,193.69302763471228
8,118228.0,18807.0,18807.0,0.0,99850.09,420.95,187.55845211222183
9,90874.0,24871.0,24871.0,0.0,66461.1,401.77,150.79909259526522
10,72491.0,22019.0,22019.0,0.0,51085.29,411.63,127.71932126092663
11,49925.0,19486.0,19486.0,0.0,30868.51,438.03,66.98966354076163
12,45251.0,19764.0,19764.0,-0.0,25806.98,441.48,44.866699428306575
