month,消費電力量,PV発電量,PV使用量,PV抑制量,買電量,平均SOC,最大買電電力
1,40195.0,20860.0,20785.9,74.1,19855.92,230.08,46.91829208284932
2,36671.0,25254.0,23207.65,2046.35,14069.11,208.69,50.478222938057975
3,49038.0,32398.0,30276.97,2121.03,18950.32,202.42,61.874962125037875
4,54890.0,26646.0,26038.36,607.64,29600.46,212.63,92.248458340417
5,66616.0,27079.0,26894.03,184.97,40023.71,220.88,97.97540027224996
6,77588.0,24833.0,24833.0,0.0,53166.3,216.84,167.20716936041757
7,111215.0,25616.0,25616.0,-0.0,86209.83,228.89,185.49837287734545
8,118228.0,18807.0,18807.0,0.0,99856.55,202.45,185.49837287734456
9,90874.0,24871.0,24871.0,0.0,66407.16,215.99,161.60407254547118
10,72491.0,22019.0,22017.9,1.1,51040.73,206.84,131.6277848113225
11,49925.0,19486.0,19485.9,0.1,30827.45,218.61,68.7508547561404
12,45251.0,19764.0,19764.0,-0.0,25747.11,238.64,57.91362802846333
