month,消費電力量,PV発電量,PV使用量,PV抑制量,買電量,平均SOC,最大買電電力
1,40195.0,20860.0,20860.0,-0.0,19703.35,414.02,38.55099437583348
2,36671.0,25254.0,25254.0,-0.0,12342.06,412.31,29.726050678454904
3,49038.0,32398.0,32398.0,-0.0,16703.58,412.5,59.46615964595968
4,54890.0,26646.0,26646.0,-0.0,29289.26,454.29,83.87191160673181
5,66616.0,27079.0,27079.0,-0.0,39818.83,480.77,93.97219527215054
6,77588.0,24833.0,24833.0,-0.0,53018.39,419.72,146.58856483769978
7,111215.0,25616.0,25616.0,-0.0,86400.15,462.37,193.69302763471228
8,118228.0,18807.0,18807.0,0.0,99847.97,423.92,187.55845211222183
9,90874.0,24871.0,24871.0,0.0,66458.86,403.27,150.57768343117297
10,72491.0,22019.0,22019.0,-0.0,51084.68,413.09,127.71932126092663
11,49925.0,19486.0,19486.0,-0.0,30867.48,437.34,66.98966354076164
12,45251.0,19764.0,19764.0,0.0,25808.18,441.85,44.86755375598819
