month,消費電力量,PV発電量,PV使用量,PV抑制量,買電量,平均SOC,最大買電電力
1,40195.0,20860.0,20860.0,-0.0,19348.06,601.05,29.557680988026085
2,36671.0,25254.0,25254.0,-0.0,12708.9,672.16,22.326137080159754
3,49038.0,32398.0,32398.0,-0.0,16662.53,748.08,55.645251793626485
4,54890.0,26646.0,26646.0,0.0,29617.15,931.9,79.51213627139347
5,66616.0,27079.0,27079.0,0.0,39360.7,925.85,86.23037329993849
6,77588.0,24833.0,24833.0,0.0,53212.6,783.6,123.28263215421998
7,111215.0,25616.0,25616.0,-0.0,86290.2,890.31,204.7637895857555
8,118228.0,18807.0,18807.0,0.0,99850.08,846.6,197.0591024126877
9,90874.0,24871.0,24871.0,0.0,66626.22,819.58,147.59444451149366
10,72491.0,22019.0,22019.0,-0.0,50935.72,839.86,126.43385373870171
11,49925.0,19486.0,19486.0,-0.0,30893.12,633.87,66.98966354076163
12,45251.0,19764.0,19764.0,-0.0,25824.69,593.25,46.000000000000014
