month,消費電力量,PV発電量,PV使用量,PV抑制量,買電量,平均SOC,最大買電電力
1,40195.0,20860.0,20860.0,0.0,19534.31,546.05,32.45208646399263
2,36671.0,25254.0,25254.0,-0.0,12512.95,583.16,24.98256636523921
3,49038.0,32398.0,32398.0,0.0,16690.56,635.23,55.901096300970096
4,54890.0,26646.0,26646.0,0.0,29468.66,666.63,79.46497621813957
5,66616.0,27079.0,27079.0,-0.0,39642.35,703.46,88.88334338625017
6,77588.0,24833.0,24833.0,0.0,52931.69,583.94,130.38315390126024
7,111215.0,25616.0,25616.0,0.0,86526.32,670.53,204.7637895857555
8,118228.0,18807.0,18807.0,-0.0,99793.64,591.41,197.2570278880009
9,90874.0,24871.0,24871.0,0.0,66543.35,627.4,145.34829906786314
10,72491.0,22019.0,22019.0,-0.0,51035.99,628.06,126.43385373870171
11,49925.0,19486.0,19486.0,-0.0,30884.95,551.55,66.98966354076161
12,45251.0,19764.0,19764.0,-0.0,25824.69,571.91,46.00000000000001
