k,gP1,gP2,dA1,dA2,dB1,dB2,dC1,dC2,sBY,xFC1,xFC2,xFD1,xFD2,bF,bF_actual,s_actual,xFD1_xFC2,xFD1_xFC2_actual,solar_radiation,pSL,dD1,dD
23,0.0,0.0,1.030612244897959,1.01,0.6122448979591837,0.6,7.959183673469388,7.800000000000001,0.0,0.0,0.0,47.85299999998642,46.895939999986695,2449.2000000000003,2440.38,0.0,47.85299999998642,12.3,-1.4,5.27,0,0.0
24,0.0,0.0,1.0102040816326532,0.99,0.6122448979591837,0.6,6.224489795918367,6.1,0.0,0.0,0.0,47.853047999997216,46.89598703999727,2448.4,2440.38,0.0,47.853047999997216,10.2,-1.1,5.27,0,0.0
25,0.0,0.0,1.0816326530612246,1.06,0.6122448979591837,0.6,6.428571428571428,6.3,0.0,0.0,0.0,47.85309600000801,46.896034080007844,2447.6,2440.38,1.0,47.85309600000801,10.2,-1.0,5.27,0,0.0
26,0.0,0.0,1.2551020408163267,1.23,0.6122448979591837,0.6,6.632653061224491,6.5,0.0,0.0,0.0,47.85314399999152,46.89608111999169,2446.8,2440.38,0.0,47.85314399999152,11.2,-1.5,5.27,0,0.0
27,0.0,0.0,1.2959183673469388,1.27,0.6122448979591837,0.6,7.959183673469388,7.800000000000001,0.0,0.0,0.0,47.85319200000231,46.89612816000226,2446.0,2440.38,0.0,47.85319200000231,12.2,-1.4,5.27,0,0.0
28,0.0,0.0,1.673469387755102,1.64,0.6122448979591837,0.6,8.061224489795919,7.900000000000001,0.0,0.0,0.0,47.85323999998582,46.896175199986104,2445.2000000000003,2440.38,1.0,47.85323999998582,13.3,-1.6,5.27,0,0.0
29,0.0,0.0,1.7551020408163265,1.72,0.6122448979591837,0.6,6.224489795918367,6.1,0.0,0.0,0.0,47.85328799999661,46.896222239996675,2444.4,2440.38,0.0,47.85328799999661,11.2,-1.5,5.27,0,0.0
30,0.0,0.0,1.0612244897959182,1.04,0.6122448979591837,0.6,6.224489795918367,6.1,0.0,0.0,0.0,47.8533360000074,46.89626928000726,2443.6,2440.38,0.0,47.8533360000074,11.3,-1.4,5.0,0,0.0
31,0.0,0.0,0.9897959183673468,0.97,0.6122448979591837,0.6,6.428571428571428,6.3,0.0,0.0,0.0,47.85338399999091,46.896316319991094,2442.8,2440.38,0.0,47.85338399999091,11.3,-1.5,5.0,0,0.0
32,0.0,0.0,2.071428571428572,2.0300000000000002,0.6122448979591837,0.6,7.244897959183673,7.1,0.0,0.0,0.0,47.8534320000017,46.89636336000167,2442.0,2440.38,0.0,47.8534320000017,12.2,-1.4,5.0,0,0.0
33,0.0,0.0,2.0816326530612246,2.04,0.6122448979591837,0.6,8.673469387755102,8.5,0.0,0.0,0.0,47.85347999998521,46.896410399985506,2441.2000000000003,2440.38,0.0,47.85347999998521,14.3,-1.5,5.0,0,0.0
34,0.0,0.0,2.0510204081632653,2.0100000000000002,0.6122448979591837,0.6,8.36734693877551,8.2,0.0,0.0,0.0,47.853527999996004,46.89645743999608,2440.4,2440.38,0.0,47.853527999996004,12.2,-1.3,5.0,0,0.0
