LP,DP
2114.545347,2084.2
2114.739581,2085
2114.954321,2086
2116.299264,2087
2123.778101,2087.8
2131.256863,2088.6
2138.73555,2089.6
2138.949351,2090.6
2139.145371,2091.6
2139.330859,2092.4
2139.512156,2093.2
2139.662039,2094
2139.854344,2094.8
2140.087917,2095.8
2140.30201,2096.8
2140.483648,2097.6
2140.657893,2098.4
2140.810112,2099.2
2140.964168,2100
2141.157069,2100.8
2141.411946,2101.8
2141.680577,2102.8
2141.967377,2103.8
2142.246232,2104.8
2142.51256,2105.8
2142.766669,2106.8
2143.126669,2107.8
2143.489137,2108.8
2143.857772,2109.8
2144.231935,2110.8
2144.604351,2111.8
2145.017835,2113
2145.443628,2114.2
2148.696046,2115.4
2156.174559,2116.6
2163.652997,2117.8
2171.131361,2119
2171.751534,2120.4
2172.382661,2121.8
2173.032373,2123.2
2173.810089,2124.6
2174.529532,2126
2175.252465,2127.4
2176.001817,2128.8
2176.642083,2130.2
2177.273791,2131.6
2177.933167,2133
2178.686241,2134.4
2179.458239,2135.8
2180.290887,2137.4
2181.11633,2139
2181.869197,2140.4
2182.568327,2141.8
2183.339666,2143.2
2184.160095,2144.8
2185.001467,2146.4
2185.821297,2148
2186.627341,2149.6
2187.38412,2151
2188.152318,2152.4
2188.976622,2154
2189.83209,2155.6
2190.597384,2157
2194.197667,2158.4
2201.675725,2159.8
2209.153708,2161
2216.631616,2162.2
2217.241007,2163.6
2217.83044,2164.8
2218.387554,2166
2218.910488,2167.2
2219.429727,2168.4
2219.941579,2169.6
2220.492523,2170.8
2221.127776,2172.2
2221.816706,2173.6
2222.54189,2175
2223.28463,2176.4
2224.028704,2177.8
2224.772084,2179.2
2225.561003,2180.6
2226.527501,2182.2
2227.499014,2183.8
2228.577636,2185.6
2229.64386,2187.4
2230.678436,2189.2
2231.627844,2190.8
2232.52259,2192.4
2233.435032,2194
2234.117897,2195.4
2234.762867,2196.8
2235.426721,2198.2
2236.079384,2199.6
2240.144732,2201
2247.622331,2202.4
2255.099854,2203.8
2262.577303,2205.2
2263.290098,2206.6
2263.95051,2208
2264.518121,2209.2
2264.923977,2210.4
2265.438195,2211.6
2265.967634,2212.8
2266.59503,2214.2
2267.263034,2215.6
2267.957376,2217
2268.610098,2218.4
2269.286519,2219.8
2269.981889,2221.2
2270.685529,2222.6
2271.382243,2224
2272.059177,2225.4
2272.613195,2226.6
2273.133192,2227.8
2273.650608,2229
2274.187181,2230.2
2274.727605,2231.4
2275.284945,2232.6
2275.838206,2233.8
2276.378658,2235
2276.909718,2236.2
2277.558307,2237.6
2278.194662,2239
2281.648967,2240.4
2289.126151,2241.6
2296.603259,2243
2304.080293,2244.2
2304.624883,2245.4
2304.922318,2246.4
2305.446836,2247.6
2305.993013,2248.8
2306.610501,2250.2
2307.265385,2251.6
2307.872925,2253
2308.452067,2254.2
2309.111806,2255.6
2309.876145,2257
