Datetime,k,gP1,gP2,dA1,dA2,dB1,dB2,dC1,dC2,s,v,xFC1,xFC2,xFD1,xFD2,bF,bF_actual,s_actual,xFD1_xFC2,xFD1_xFC2_actual,solar_radiation
2025-02-03 00:00:00,0,0.0,0,0.0,0.026333333333333334,1.6122448979591837,0.011666666666666665,0.7142857142857142,0.14666666666666667,8.979591836734693,8.8,0.0,0.0,0.0,0.0,11.53685964181591,1508.1000000000001,0.03333333333333333,0.0,0.18833333333333335,-1.6
2025-02-03 00:01:00,1,0.0,1,0.0,0.026000000000000002,1.5918367346938778,0.011666666666666665,0.7142857142857142,0.14833333333333334,9.081632653061224,8.9,0.0,0.0,0.0,0.0,11.62015826738859,1508.1000000000001,0.0,0.0,0.22333333333333333,-1.6
2025-02-03 00:02:00,2,0.0,2,0.0,0.026500000000000003,1.622448979591837,0.011666666666666665,0.7142857142857142,0.12000000000000001,7.346938775510205,7.2,0.0,0.0,0.0,0.0,9.881299458558935,1508.1000000000001,-0.016666666666666666,0.0,0.22333333333333333,-1.6
2025-02-03 00:03:00,3,0.0,3,0.0,0.055,3.36734693877551,0.011666666666666665,0.7142857142857142,0.12000000000000001,7.346938775510205,7.2,0.0,0.0,0.0,0.0,11.661807580174926,1508.1000000000001,0.0,0.0,0.22166666666666668,-1.5
2025-02-03 00:04:00,4,0.0,4,0.0,0.055,3.36734693877551,0.01,0.6122448979591837,0.12166666666666666,7.448979591836735,7.3,0.0,0.0,0.0,0.0,11.661807580174926,1508.1000000000001,0.0,0.0,0.22333333333333333,-1.6
2025-02-03 00:05:00,5,0.0,5,0.0,0.02666666666666667,1.6326530612244898,0.01,0.6122448979591837,0.11833333333333333,7.244897959183673,7.1,0.0,0.0,0.0,0.0,9.683465222823823,1508.1000000000001,0.016666666666666666,0.0,0.20666666666666667,-1.6
2025-02-03 00:06:00,6,0.0,6,0.0,0.09899999999999999,6.061224489795918,0.01,0.6122448979591837,0.14333333333333334,8.775510204081634,8.6,0.0,0.0,0.0,0.0,15.76426488962932,1508.1000000000001,0.08333333333333333,0.0,0.20500000000000002,-1.5
2025-02-03 00:07:00,7,0.0,7,0.0,0.09933333333333333,6.081632653061225,0.01,0.6122448979591837,0.13166666666666668,8.061224489795919,7.900000000000001,0.0,0.0,0.0,0.0,15.05622657226156,1508.1000000000001,-0.016666666666666666,0.0,0.2916666666666667,-1.4
2025-02-03 00:08:00,8,0.0,8,0.0,0.09916666666666667,6.071428571428571,0.011666666666666665,0.7142857142857142,0.105,6.428571428571428,6.3,0.0,0.0,0.0,0.0,13.48396501457726,1508.1000000000001,-0.03333333333333333,0.0,0.2916666666666667,-1.4
2025-02-03 00:09:00,9,0.0,9,0.0,0.09933333333333333,6.081632653061225,0.011666666666666665,0.7142857142857142,0.105,6.428571428571428,6.3,0.0,0.0,0.0,0.0,13.494377342773843,1508.1000000000001,0.0,0.0,0.25666666666666665,-1.5
2025-02-03 00:10:00,10,0.0,10,0.0,0.09783333333333334,5.9897959183673475,0.01,0.6122448979591837,0.11666666666666667,7.142857142857143,7.0,0.0,0.0,0.0,0.0,14.02540608079967,1508.1000000000001,0.016666666666666666,0.0,0.25666666666666665,-1.5
2025-02-03 00:11:00,11,0.0,11,0.0,0.11,6.73469387755102,0.01,0.6122448979591837,0.11833333333333333,7.244897959183673,7.1,0.0,0.0,0.0,0.0,14.889629321116201,1508.1000000000001,0.0,0.0,0.2733333333333333,-1.5
2025-02-03 00:12:00,12,0.0,12,0.0,0.11116666666666666,6.8061224489795915,0.011666666666666665,0.7142857142857142,0.12666666666666665,7.755102040816325,7.599999999999999,0.0,0.0,0.0,0.0,15.58725531028738,1508.1000000000001,0.03333333333333333,0.0,0.275,-1.3
2025-02-03 00:13:00,13,0.0,13,0.0,0.11066666666666668,6.775510204081634,0.01,0.6122448979591837,0.13,7.959183673469388,7.800000000000001,0.0,0.0,0.0,0.0,15.660141607663473,1508.1000000000001,-0.016666666666666666,0.0,0.30833333333333335,-1.3
2025-02-03 00:14:00,14,0.0,14,0.0,0.08966666666666666,5.489795918367347,0.01,0.6122448979591837,0.10333333333333333,6.326530612244898,6.2,0.0,0.0,0.0,0.0,12.682215743440233,1508.1000000000001,-0.05,0.0,0.2916666666666667,-1.3
2025-02-03 00:15:00,15,0.0,15,0.0,0.095,5.816326530612245,0.011666666666666665,0.7142857142857142,0.105,6.428571428571428,6.3,0.0,0.0,0.0,0.0,13.223656809662641,1508.1000000000001,0.016666666666666666,0.0,0.24000000000000002,-1.3
2025-02-03 00:16:00,16,0.0,16,0.0,0.096,5.877551020408164,0.01,0.6122448979591837,0.10666666666666667,6.530612244897959,6.4,0.0,0.0,0.0,0.0,13.286130778842152,1508.1000000000001,0.0,0.0,0.25666666666666665,-1.4
2025-02-03 00:17:00,17,0.0,17,0.0,0.09666666666666666,5.918367346938775,0.011666666666666665,0.7142857142857142,0.10666666666666667,6.530612244897959,6.4,0.0,0.0,0.0,0.0,13.431903373594338,1508.1000000000001,0.0,0.0,0.25666666666666665,-1.4
2025-02-03 00:18:00,18,0.0,18,0.0,0.0845,5.173469387755103,0.01,0.6122448979591837,0.14,8.571428571428573,8.4,0.0,0.0,0.0,0.0,14.650145772594755,1508.1000000000001,0.03333333333333333,0.0,0.2733333333333333,-1.1
2025-02-03 00:19:00,19,0.0,19,0.0,0.023000000000000003,1.4081632653061227,0.01,0.6122448979591837,0.14333333333333334,8.775510204081634,8.6,0.0,0.0,0.0,0.0,11.016243231986673,1508.1000000000001,-0.05,0.0,0.275,-1.3
2025-02-03 00:20:00,20,0.0,20,0.0,0.03866666666666666,2.36734693877551,0.01,0.6122448979591837,0.105,6.428571428571428,6.3,0.0,0.0,0.0,0.0,9.600166597251144,1508.1000000000001,-0.016666666666666666,0.0,0.22333333333333333,-1.3
2025-02-03 00:21:00,21,0.0,21,0.0,0.026500000000000003,1.622448979591837,0.01,0.6122448979591837,0.105,6.428571428571428,6.3,0.0,0.0,0.0,0.0,8.840066638900458,1508.1000000000001,-0.05,0.0,0.22166666666666668,-1.3
2025-02-03 00:22:00,22,0.0,22,0.0,0.025500000000000002,1.5612244897959187,0.01,0.6122448979591837,0.10666666666666667,6.530612244897959,6.4,0.0,0.0,0.0,0.0,8.881715951686797,1508.1000000000001,0.0,0.0,0.18833333333333335,-1.0
