k,gP1,gP2,dA1,dA2,dB1,dB2,dC1,dC2,sBY,sSL,xFC1,xFC2,xFD1,xFD2,bF,bF_actual,s_actual,xFD1_xFC2,xFD1_xFC2_actual,solar_radiation,pSL
14,0.0,0.0,3.9148936170212765,3.6799999999999997,0.6382978723404256,0.6,6.702127659574468,6.3,0.0,0.0,0.0,0.0,11.97374377546401,11.25531914893617,2465.011583652943,2440.38,0.0,11.97374377546401,13.3,-1.6,5.27
15,0.0,0.0,4.0212765957446805,3.7800000000000002,0.6382978723404256,0.6,6.914893617021277,6.5,0.0,0.0,0.0,0.0,12.313263920325939,11.574468085106384,2464.80389757602,2440.38,0.0,12.313263920325939,13.3,-1.7,5.27
16,0.0,0.0,1.127659574468085,1.06,0.6382978723404256,0.6,8.085106382978722,7.599999999999999,0.0,0.0,0.0,0.0,10.479855138071525,9.851063829787233,2464.6267685198213,2440.38,0.0,10.479855138071525,14.3,-1.8,5.27
17,0.0,0.0,1.1595744680851063,1.09,0.6382978723404256,0.6,8.297872340425533,7.800000000000001,0.0,0.0,0.0,0.0,10.740153915799004,10.095744680851064,2464.4453013277894,2440.38,0.0,10.740153915799004,12.3,-1.6,5.27
18,0.0,0.0,1.2127659574468086,1.1400000000000001,0.6382978723404256,0.6,6.489361702127659,6.1,0.0,0.0,0.0,0.0,8.872793119058397,8.340425531914892,2464.29495699717,2440.38,0.0,8.872793119058397,11.3,-1.4,5.27
19,0.0,0.0,1.8936170212765955,1.78,0.6382978723404256,0.6,6.489361702127659,6.1,0.0,0.0,0.0,0.0,9.597102761430511,9.02127659574468,2464.1325409895226,2440.38,0.0,9.597102761430511,11.2,-1.4,5.27
20,0.0,0.0,1.8085106382978722,1.7,0.6382978723404256,0.6,6.808510638297873,6.4,0.0,0.0,0.0,0.0,9.846084200995925,9.25531914893617,2463.965975453632,2440.38,0.0,9.846084200995925,11.2,-1.2,5.27
21,0.0,0.0,1.0212765957446808,0.96,0.6382978723404256,0.6,7.446808510638298,7.0,0.0,0.0,0.0,0.0,9.687641466727024,9.106382978723405,2463.8020507965443,2440.38,0.0,9.687641466727024,10.2,-1.6,5.27
22,0.0,0.0,1.0638297872340425,1.0,0.6382978723404256,0.6,8.297872340425533,7.800000000000001,0.0,0.0,0.0,0.0,10.638297872340425,10.000000000000002,2463.6222820299545,2440.38,0.0,10.638297872340425,12.3,-1.3,5.27
23,0.0,0.0,1.0744680851063828,1.01,0.6382978723404256,0.6,8.297872340425533,7.800000000000001,0.0,0.0,0.0,0.0,10.649615210502489,10.01063829787234,2463.442324820831,2440.38,0.0,10.649615210502489,12.3,-1.4,5.27
24,0.0,0.0,1.0531914893617023,0.99,0.6382978723404256,0.6,6.489361702127659,6.1,0.0,0.0,0.0,0.0,8.703033046627432,8.180851063829786,2463.2948108277287,2440.38,0.0,8.703033046627432,10.2,-1.1,5.27
25,0.0,0.0,1.127659574468085,1.06,0.6382978723404256,0.6,6.702127659574468,6.3,0.0,0.0,0.0,0.0,9.008601177003168,8.468085106382977,2463.142204179968,2440.38,1.0,9.008601177003168,10.2,-1.0,5.27
26,0.0,0.0,1.3085106382978724,1.23,0.6382978723404256,0.6,6.914893617021277,6.5,0.0,0.0,0.0,0.0,9.427342688999548,8.861702127659575,2462.9826186596138,2440.38,0.0,9.427342688999548,11.2,-1.5,5.27
27,0.0,0.0,1.3510638297872342,1.27,0.6382978723404256,0.6,8.297872340425533,7.800000000000001,0.0,0.0,0.0,0.0,10.943866002716161,10.287234042553193,2462.797757910283,2440.38,0.0,10.943866002716161,12.2,-1.4,5.27
28,0.0,0.0,1.7446808510638296,1.64,0.6382978723404256,0.6,8.404255319148938,7.900000000000001,0.0,0.0,0.0,0.0,11.475780896333184,10.787234042553193,2462.6040320975862,2440.38,1.0,11.475780896333184,13.3,-1.6,5.27
29,0.0,0.0,1.8297872340425532,1.72,0.6382978723404256,0.6,6.489361702127659,6.1,0.0,0.0,0.0,0.0,9.529198732458125,8.957446808510637,2462.4427495146797,2440.38,0.0,9.529198732458125,11.2,-1.5,5.27
30,0.0,0.0,1.106382978723404,1.04,0.6382978723404256,0.6,6.489361702127659,6.1,0.0,0.0,0.0,0.0,8.759619737437754,8.23404255319149,2462.2942934096395,2440.38,0.0,8.759619737437754,11.3,-1.4,5.0
31,0.0,0.0,1.0319148936170213,0.97,0.6382978723404256,0.6,6.702127659574468,6.3,0.0,0.0,0.0,0.0,8.90674513354459,8.372340425531915,2462.1433853631206,2440.38,0.0,8.90674513354459,11.3,-1.5,5.0
32,0.0,0.0,2.159574468085107,2.0300000000000002,0.6382978723404256,0.6,7.553191489361701,7.1,0.0,0.0,0.0,0.0,11.011770031688545,10.351063829787233,2461.9573937192067,2440.38,0.0,11.011770031688545,12.2,-1.4,5.0
33,0.0,0.0,2.170212765957447,2.04,0.6382978723404256,0.6,9.042553191489361,8.5,0.0,0.0,0.0,0.0,12.60751471253961,11.851063829787234,2461.744806516604,2440.38,0.0,12.60751471253961,14.3,-1.5,5.0
