k,gP1,dA2,sBY,bF,xFD1_xFC2,pBY,v,dD,dD2
0,0,5,0,2432.570754,15.61849229,26.31,0,10,10
1,0,5,0,2424.759075,15.61849229,26.31,0,10,10
2,0,5,0,2416.947404,15.61849229,26.31,0,10,10
3,0,5,0,2409.135741,15.61849229,26.31,0,10,10
4,0,6,0,2399.762237,18.74219075,26.31,0,12,12
5,0,5,0,2391.950591,15.61849229,26.31,0,10,10
6,0,5,0,2384.138953,15.61849229,26.31,0,10,10
7,0,5,0,2376.327322,15.61849229,26.31,0,10,10
8,0,5,0,2368.5157,15.61849229,26.31,0,10,10
9,0,4,0,2362.265934,12.49479384,26.31,0,8,8
10,3,5,0,2355.954326,12.61849229,26.31,0,10,10
11,9,6,0,2351.080875,9.742190754,26.31,0,12,12
12,12,5,0,2349.269277,3.618492295,26.31,0,10,10
13,19,5,0,2349.266928,0,26.31,0,10,10
14,29,5,0,2349.264579,0,26.31,0,10,10
15,38,5,0,2349.26223,0,26.31,0,10,10
16,43,9,0,2349.25988,0,26.31,0,18,18
17,49,10,0,2349.257531,0,26.31,0,20,20
18,50,10,0,2349.255182,0,26.31,0,20,20
19,53,22,0,2341.39215,15.7213661,26.31,0,44,44
20,54,33,0,2316.848784,49.08204915,26.31,0,66,66
21,57,19,0,2315.671331,2.350270721,26.31,0,38,38
22,55,12,0,2315.669016,0,26.31,0,24,24
23,53,12,0,2315.6667,0,26.31,0,24,24
24,78,13,0,2315.664384,0,26.31,0,26,26
25,105,12,0,2315.662069,0,26.31,0,24,24
26,105,12,0,2315.659753,0,26.31,0,24,24
27,94,24,0,2315.657437,0,26.31,0,48,48
28,88,30,0,2312.799645,5.710953769,26.31,0,60,60
29,69,13,0,2312.797332,0,26.31,0,26,26
30,58,12,0,2312.795019,0,26.31,0,24,24
31,35,13,0,2309.988666,5.608079967,26.31,0,26,26
32,30,12,0,2306.244166,7.484381508,26.31,0,24,24
33,14,10,0,2297.623367,17.23698459,26.31,0,20,20
34,11,6,0,2293.749974,7.742190754,26.31,0,12,12
35,1,6,0,2284.876585,17.74219075,26.31,0,12,12
36,0,6,0,2275.503205,18.74219075,26.31,0,12,12
37,0,7,0,2264.567985,21.86588921,26.31,0,14,14
38,0,7,0,2253.632776,21.86588921,26.31,0,14,14
39,0,6,0,2244.259427,18.74219075,26.31,0,12,12
40,0,6,0,2234.886087,18.74219075,26.31,0,12,12
41,0,5,0,2227.074606,15.61849229,26.31,0,10,10
42,0,5,0,2219.263133,15.61849229,26.31,0,10,10
43,0,5,0,2211.451667,15.61849229,26.31,0,10,10
44,0,5,0,2203.64021,15.61849229,26.31,0,10,10
45,0,5,0,2195.82876,15.61849229,26.31,0,10,10
46,0,5,0,2188.017318,15.61849229,26.31,0,10,10
47,0,6,0,2178.644034,18.74219075,26.31,0,12,12
48,0,5,0,2170.83261,15.61849229,26.31,0,10,10
49,0,5,0,2163.021193,15.61849229,26.31,0,10,10
50,0,5,0,2155.209784,15.61849229,26.31,0,10,10
51,0,5,0,2147.398382,15.61849229,26.31,0,10,10
52,0,5,0,2139.586989,15.61849229,26.31,0,10,10
53,0,5,0,2131.775603,15.61849229,26.31,0,10,10
54,0,5,0,2123.964225,15.61849229,26.31,0,10,10
55,0,5,0,2116.152855,15.61849229,26.31,0,10,10
56,0,5,0,2108.341493,15.61849229,26.31,0,10,10
57,0,5,0,2100.530138,15.61849229,26.31,0,10,10
58,0,5,0,2092.718791,15.61849229,26.31,0,10,10
59,0,6,0,2083.345603,18.74219075,26.31,0,12,12
60,0,5,0,2075.534274,15.61849229,26.31,0,10,10
61,0,5,0,2067.722952,15.61849229,26.31,0,10,10
62,0,5,0,2059.911638,15.61849229,26.31,0,10,10
63,8,5,0,2056.100332,7.618492295,26.31,0,10,10
64,32,5,0,2056.098276,0,26.31,0,10,10
65,39,11,0,2056.09622,0,26.31,0,22,22
66,96,12,0,2056.094164,0,26.31,0,24,24
67,105,12,0,2056.092108,0,26.31,0,24,24
68,85,12,0,2056.090052,0,26.31,0,24,24
69,46,12,0,2056.087996,0,26.31,0,24,24
70,33,12,0,2053.843749,4.484381508,26.31,0,24,24
71,21,12,0,2045.599504,16.48438151,26.31,0,24,24
72,58,12,0,2045.597459,0,26.31,0,24,24
73,64,11,0,2045.595413,0,26.31,0,22,22
74,71,12,0,2045.593367,0,26.31,0,24,24
75,76,12,0,2045.591322,0,26.31,0,24,24
76,65,12,0,2057.403183,-23.62781401,26.31,0,24,24
77,47,11,0,2063.470526,-12.1388,26.31,0,22,22
78,56,12,0,2072.359662,-17.7824,26.31,0,24,24
79,50,15,0,2073.86759,-3.02,26.31,0,30,30
80,43,34,0,2042.262642,63.20574761,26.31,0,68,68
81,21,12,0,2034.018409,16.48438151,26.31,0,24,24
82,11,11,0,2022.336034,23.36068305,26.31,0,22,22
83,1,12,0,2004.091821,36.48438151,26.31,0,24,24
84,0,12,0,1985.347626,37.48438151,26.31,0,24,24
85,0,11,0,1968.165299,34.36068305,26.31,0,22,22
86,0,12,0,1949.42114,37.48438151,26.31,0,24,24
87,0,11,0,1932.238849,34.36068305,26.31,0,22,22
88,0,6,0,1922.865821,18.74219075,26.31,0,12,12
89,0,5,0,1915.054652,15.61849229,26.31,0,10,10
90,0,5,0,1907.243491,15.61849229,26.31,0,10,10
91,0,5,0,1899.432338,15.61849229,26.31,0,10,10
92,0,5,0,1891.621192,15.61849229,26.31,0,10,10
93,0,5,0,1883.810054,15.61849229,26.31,0,10,10
94,0,5,0,1875.998925,15.61849229,26.31,0,10,10
95,0,5,0,1868.187802,15.61849229,26.31,0,10,10
96,0,5,0,1860.376688,15.61849229,26.31,0,10,10
97,0,5,0,1852.565582,15.61849229,26.31,0,10,10
98,0,5,0,1844.754483,15.61849229,26.31,0,10,10
99,0,5,0,1836.943392,15.61849229,26.31,0,10,10
100,0,5,0,1829.132309,15.61849229,26.31,0,10,10
101,0,5,0,1821.321234,15.61849229,26.31,0,10,10
102,0,5,0,1813.510166,15.61849229,26.31,0,10,10
103,0,4,0,1807.260956,12.49479384,26.31,0,8,8
104,0,6,0,1797.888053,18.74219075,26.31,0,12,12
105,0,5,0,1790.077009,15.61849229,26.31,0,10,10
106,3,5,0,1783.765973,12.61849229,26.31,0,10,10
107,10,5,0,1780.954943,5.618492295,26.31,0,10,10
108,24,5,0,1780.953162,0,26.31,0,10,10
109,38,5,0,1780.951381,0,26.31,0,10,10
110,51,5,0,1780.9496,0,26.31,0,10,10
111,64,6,0,1780.947819,0,26.31,0,12,12
112,70,5,0,1780.946038,0,26.31,0,10,10
113,86,6,0,1780.944257,0,26.31,0,12,12
114,90,6,0,1780.942476,0,26.31,0,12,12
115,102,6,0,1780.940695,0,26.31,0,12,12
116,105,5,0,1780.938914,0,26.31,0,10,10
117,105,6,0,1780.937133,0,26.31,0,12,12
118,105,5,0,1780.935352,0,26.31,0,10,10
119,105,6,0,1780.933571,0,26.31,0,12,12
120,105,6,0,1780.931791,0,26.31,0,12,12
121,105,6,0,1780.93001,0,26.31,0,12,12
122,104,5,0,1780.928229,0,26.31,0,10,10
123,94,5,0,1780.926448,0,26.31,0,10,10
124,89,6,0,1780.924667,0,26.31,0,12,12
125,72,5,0,1780.922886,0,26.31,0,10,10
126,68,6,0,1780.921105,0,26.31,0,12,12
127,48,5,0,1780.919324,0,26.31,0,10,10
128,39,6,0,1780.917543,0,26.31,0,12,12
129,28,5,0,1786.861362,-11.8912,26.31,0,10,10
130,21,6,0,1787.943775,-2.1684,26.31,0,12,12
131,4,6,0,1780.570892,14.74219075,26.31,0,12,12
132,2,6,0,1772.198016,16.74219075,26.31,0,12,12
133,0,7,0,1761.263299,21.86588921,26.31,0,14,14
134,0,7,0,1750.328593,21.86588921,26.31,0,14,14
135,0,7,0,1739.393898,21.86588921,26.31,0,14,14
136,0,6,0,1730.021064,18.74219075,26.31,0,12,12
137,0,5,0,1722.210088,15.61849229,26.31,0,10,10
138,0,5,0,1714.399119,15.61849229,26.31,0,10,10
139,0,5,0,1706.588159,15.61849229,26.31,0,10,10
140,0,5,0,1698.777206,15.61849229,26.31,0,10,10
141,0,5,0,1690.966261,15.61849229,26.31,0,10,10
142,0,5,0,1683.155324,15.61849229,26.31,0,10,10
143,0,6,0,1673.782545,18.74219075,26.31,0,12,12
144,0,5,0,1665.971625,15.61849229,26.31,0,10,10
145,0,5,0,1658.160713,15.61849229,26.31,0,10,10
146,0,5,0,1650.349809,15.61849229,26.31,0,10,10
147,0,5,0,1642.538912,15.61849229,26.31,0,10,10
148,0,5,0,1634.728024,15.61849229,26.31,0,10,10
149,0,5,0,1626.917143,15.61849229,26.31,0,10,10
150,0,6,0,1617.544421,18.74219075,26.31,0,12,12
151,0,5,0,1609.733557,15.61849229,26.31,0,10,10
152,0,5,0,1601.922701,15.61849229,26.31,0,10,10
153,0,5,0,1594.111853,15.61849229,26.31,0,10,10
154,1,5,0,1586.801013,14.61849229,26.31,0,10,10
155,15,6,0,1584.928331,3.742190754,26.31,0,12,12
156,27,5,0,1584.926746,0,26.31,0,10,10
157,28,6,0,1584.925161,0,26.31,0,12,12
158,54,6,0,1601.854376,-33.8616,26.31,0,12,12
159,66,6,0,1624.545974,-45.3864,26.31,0,12,12
160,73,6,0,1650.598949,-52.1092,26.31,0,12,12
161,91,6,0,1685.295499,-69.3964,26.31,0,12,12
162,96,5,0,1723.893013,-77.1984,26.31,0,10,10
163,105,6,0,1765.31229,-82.842,26.31,0,12,12
164,105,7,0,1805.231524,-79.842,26.31,0,14,14
165,105,6,0,1846.650719,-82.842,26.31,0,12,12
166,105,7,0,1886.569872,-79.842,26.31,0,14,14
167,105,6,0,1927.988986,-82.842,26.31,0,12,12
168,105,6,0,1969.408058,-82.842,26.31,0,12,12
169,105,7,0,2009.327088,-79.842,26.31,0,14,14
170,105,6,0,2050.746079,-82.842,26.31,0,12,12
171,99,5,0,2090.783828,-80.0796,26.31,0,10,10
172,94,6,0,2126.920538,-72.2776,26.31,0,12,12
173,79,5,0,2157.354211,-60.8716,26.31,0,10,10
174,73,5,0,2184.906653,-55.1092,26.31,0,10,10
175,54,5,0,2203.335268,-36.8616,26.31,0,10,10
176,47,4,0,2219.902465,-33.1388,26.31,0,8,8
177,28,5,0,2225.845845,-11.8912,26.31,0,10,10
178,22,5,0,2228.908019,-6.1288,26.31,0,10,10
179,5,5,0,2223.596544,10.61849229,26.31,0,10,10
180,3,6,0,2215.723225,15.74219075,26.31,0,12,12
181,0,6,0,2206.349914,18.74219075,26.31,0,12,12
182,0,6,0,2196.976612,18.74219075,26.31,0,12,12
183,0,6,0,2187.60332,18.74219075,26.31,0,12,12
184,0,6,0,2178.230037,18.74219075,26.31,0,12,12
185,0,5,0,2170.418613,15.61849229,26.31,0,10,10
186,0,5,0,2162.607196,15.61849229,26.31,0,10,10
187,0,5,0,2154.795787,15.61849229,26.31,0,10,10
188,0,5,0,2146.984386,15.61849229,26.31,0,10,10
189,0,5,0,2139.172993,15.61849229,26.31,0,10,10
190,0,5,0,2131.361608,15.61849229,26.31,0,10,10
191,0,6,0,2121.988381,18.74219075,26.31,0,12,12
192,0,4,0,2115.738862,12.49479384,26.31,0,8,8
193,0,5,0,2107.9275,15.61849229,26.31,0,10,10
194,0,5,0,2100.116146,15.61849229,26.31,0,10,10
195,0,5,0,2092.3048,15.61849229,26.31,0,10,10
196,0,5,0,2084.493462,15.61849229,26.31,0,10,10
197,0,6,0,2075.120282,18.74219075,26.31,0,12,12
198,0,4,0,2068.87081,12.49479384,26.31,0,8,8
199,0,5,0,2061.059495,15.61849229,26.31,0,10,10
200,0,5,0,2053.248188,15.61849229,26.31,0,10,10
201,0,5,0,2045.436888,15.61849229,26.31,0,10,10
202,3,5,0,2039.125597,12.61849229,26.31,0,10,10
203,13,6,0,2036.252462,5.742190754,26.31,0,12,12
204,28,5,0,2042.196026,-11.8912,26.31,0,10,10
205,41,5,0,2054.382184,-24.3764,26.31,0,10,10
206,56,5,0,2073.771329,-38.7824,26.31,0,10,10
207,68,6,0,2097.422855,-47.3072,26.31,0,12,12
208,74,6,0,2123.955558,-53.0696,26.31,0,12,12
209,90,6,0,2158.171434,-68.436,26.31,0,12,12
210,94,7,0,2192.808076,-69.2776,26.31,0,14,14
211,105,6,0,2234.226883,-82.842,26.31,0,12,12
212,105,7,0,2274.145649,-79.842,26.31,0,14,14
213,105,7,0,2314.064375,-79.842,26.31,0,14,14
214,105,6,0,2355.483061,-82.842,26.31,0,12,12
215,105,7,0,2395.401705,-79.842,26.31,0,14,14
216,105,6,0,2436.82031,-82.842,26.31,0,12,12
217,105,7,0,2476.738873,-79.842,26.31,0,14,14
218,100,7,0,2514.256396,-75.04,26.31,0,14,14
219,64,6,0,2535.986682,-43.4656,26.31,0,12,12
220,66,6,0,2558.677346,-45.3864,26.31,0,12,12
221,68,6,0,2582.328387,-47.3072,26.31,0,12,12
222,55,5,0,2601.236805,-37.822,26.31,0,10,10
223,24,6,0,2603.759004,-5.0496,26.31,0,12,12
224,18,5,0,2604.9,-2.2872,26.31,0,10,10
225,7,5,0,2600.588149,8.618492295,26.31,0,10,10
226,6,5,0,2595.776302,9.618492295,26.31,0,10,10
227,0,5,0,2587.96446,15.61849229,26.31,0,10,10
228,0,6,0,2578.590777,18.74219075,26.31,0,12,12
229,0,6,0,2569.217103,18.74219075,26.31,0,12,12
230,0,6,0,2559.843438,18.74219075,26.31,0,12,12
231,0,6,0,2550.469783,18.74219075,26.31,0,12,12
232,0,6,0,2541.096137,18.74219075,26.31,0,12,12
233,0,5,0,2533.28435,15.61849229,26.31,0,10,10
234,0,5,0,2525.472571,15.61849229,26.31,0,10,10
235,0,5,0,2517.660799,15.61849229,26.31,0,10,10
236,0,6,0,2508.287186,18.74219075,26.31,0,12,12
237,0,5,0,2500.475432,15.61849229,26.31,0,10,10
238,0,5,0,2492.663685,15.61849229,26.31,0,10,10
239,0,5,0,2484.851946,15.61849229,26.31,0,10,10
240,0,5,0,2477.040215,15.61849229,26.31,0,10,10
241,0,5,0,2469.228492,15.61849229,26.31,0,10,10
242,0,5,0,2461.416777,15.61849229,26.31,0,10,10
243,0,5,0,2453.605069,15.61849229,26.31,0,10,10
244,0,5,0,2445.793369,15.61849229,26.31,0,10,10
245,0,5,0,2437.981677,15.61849229,26.31,0,10,10
246,0,5,0,2430.169993,15.61849229,26.31,0,10,10
247,0,5,0,2422.358317,15.61849229,26.31,0,10,10
248,0,5,0,2414.546648,15.61849229,26.31,0,10,10
249,0,5,0,2406.734988,15.61849229,26.31,0,10,10
250,0,5,0,2398.923335,15.61849229,26.31,0,10,10
251,0,6,0,2389.54984,18.74219075,26.31,0,12,12
252,1,5,0,2382.238205,14.61849229,26.31,0,10,10
253,3,5,0,2375.926576,12.61849229,26.31,0,10,10
254,5,5,0,2370.614954,10.61849229,26.31,0,10,10
255,19,5,0,2372.236384,-3.2476,26.31,0,10,10
256,23,5,0,2375.778611,-7.0892,26.31,0,10,10
257,29,5,0,2382.202036,-12.8516,26.31,0,10,10
258,41,5,0,2394.387853,-24.3764,26.31,0,10,10
259,41,5,0,2406.573659,-24.3764,26.31,0,10,10
260,34,6,0,2413.898053,-14.6536,26.31,0,12,12
261,54,6,0,2430.826439,-33.8616,26.31,0,12,12
262,53,6,0,2447.274608,-32.9012,26.31,0,12,12
263,48,6,0,2461.321761,-28.0992,26.31,0,12,12
264,33,5,0,2469.665899,-16.6932,26.31,0,10,10
265,30,6,0,2475.06943,-10.812,26.31,0,12,12
266,40,5,0,2486.774954,-23.416,26.31,0,10,10
267,40,6,0,2496.980468,-20.416,26.31,0,12,12
268,33,5,0,2505.324571,-16.6932,26.31,0,10,10
269,29,6,0,2510.247865,-9.8516,26.31,0,12,12
270,26,5,0,2515.230555,-9.9704,26.31,0,10,10
271,19,5,0,2516.85184,-3.2476,26.31,0,10,10
272,16,6,0,2515.478228,2.742190754,26.31,0,12,12
273,9,5,0,2512.166466,6.618492295,26.31,0,10,10
274,7,6,0,2506.292859,11.74219075,26.31,0,12,12
275,1,6,0,2497.419257,17.74219075,26.31,0,12,12
276,0,6,0,2488.045664,18.74219075,26.31,0,12,12
277,0,6,0,2478.672081,18.74219075,26.31,0,12,12
278,0,6,0,2469.298507,18.74219075,26.31,0,12,12
279,0,6,0,2459.924942,18.74219075,26.31,0,12,12
280,0,6,0,2450.551387,18.74219075,26.31,0,12,12
281,0,5,0,2442.73969,15.61849229,26.31,0,10,10
282,0,5,0,2434.928001,15.61849229,26.31,0,10,10
283,0,5,0,2427.11632,15.61849229,26.31,0,10,10
284,0,5,0,2419.304647,15.61849229,26.31,0,10,10
285,0,5,0,2411.492981,15.61849229,26.31,0,10,10
286,0,5,0,2403.681324,15.61849229,26.31,0,10,10
287,0,5,0,2395.869674,15.61849229,26.31,0,10,10
288,0,5,0,2388.058032,15.61849229,26.31,0,10,10
289,0,5,0,2380.246398,15.61849229,26.31,0,10,10
290,0,5,0,2372.434771,15.61849229,26.31,0,10,10
291,0,5,0,2364.623153,15.61849229,26.31,0,10,10
292,0,5,0,2356.811542,15.61849229,26.31,0,10,10
293,0,5,0,2348.999939,15.61849229,26.31,0,10,10
294,0,5,0,2341.188344,15.61849229,26.31,0,10,10
295,0,5,0,2333.376756,15.61849229,26.31,0,10,10
296,0,5,0,2325.565177,15.61849229,26.31,0,10,10
297,0,5,0,2317.753605,15.61849229,26.31,0,10,10
298,3,5,0,2311.442041,12.61849229,26.31,0,10,10
299,7,6,0,2305.568634,11.74219075,26.31,0,12,12
300,8,5,0,2301.757083,7.618492295,26.31,0,10,10
301,19,5,0,2303.378581,-3.2476,26.31,0,10,10
302,29,5,0,2309.802078,-12.8516,26.31,0,10,10
303,58,6,0,2328.651368,-37.7032,26.31,0,12,12
304,68,6,0,2352.302639,-47.3072,26.31,0,12,12
305,89,10,0,2380.038087,-55.4756,26.31,0,20,20
306,90,17,0,2397.753707,-35.436,26.31,0,34,34
307,99,37,0,2389.462887,16.57684298,26.31,0,74,74
308,105,32,0,2391.881498,-4.842,26.31,0,64,64
309,105,35,0,2389.714383,4.329446064,26.31,0,70,70
310,105,37,0,2384.423572,10.57684298,26.31,0,74,74
311,88,32,0,2378.442012,11.95835069,26.31,0,64,64
312,87,22,0,2387.217034,-17.5548,26.31,0,44,44
313,103,24,0,2400.675246,-26.9212,26.31,0,48,48
314,102,36,0,2395.446274,10.45314452,26.31,0,72,72
315,90,36,0,2384.217306,22.45314452,26.31,0,72,72
316,74,33,0,2369.673897,29.08204915,26.31,0,66,66
317,49,38,0,2334.821257,69.70054144,26.31,0,76,76
318,56,38,0,2303.468651,62.70054144,26.31,0,76,76
319,37,18,0,2293.853062,19.22657226,26.31,0,36,36
320,35,34,0,2258.247894,71.20574761,26.31,0,68,68
321,17,13,0,2246.441596,23.60807997,26.31,0,26,26
322,9,12,0,2232.197158,28.48438151,26.31,0,24,24
323,2,7,0,2222.261982,19.86588921,26.31,0,14,14
324,0,6,0,2212.888664,18.74219075,26.31,0,12,12
325,0,7,0,2201.953506,21.86588921,26.31,0,14,14
326,0,6,0,2192.580209,18.74219075,26.31,0,12,12
327,0,6,0,2183.206921,18.74219075,26.31,0,12,12
328,0,6,0,2173.833643,18.74219075,26.31,0,12,12
329,0,5,0,2166.022223,15.61849229,26.31,0,10,10
330,0,5,0,2158.21081,15.61849229,26.31,0,10,10
331,0,5,0,2150.399406,15.61849229,26.31,0,10,10
332,0,5,0,2142.58801,15.61849229,26.31,0,10,10
333,0,5,0,2134.776621,15.61849229,26.31,0,10,10
334,0,5,0,2126.96524,15.61849229,26.31,0,10,10
335,0,5,0,2119.153867,15.61849229,26.31,0,10,10
336,0,5,0,2111.342501,15.61849229,26.31,0,10,10
337,0,5,0,2103.531144,15.61849229,26.31,0,10,10
338,0,5,0,2095.719794,15.61849229,26.31,0,10,10
339,0,5,0,2087.908452,15.61849229,26.31,0,10,10
340,0,5,0,2080.097118,15.61849229,26.31,0,10,10
341,0,5,0,2072.285792,15.61849229,26.31,0,10,10
342,0,4,0,2066.036323,12.49479384,26.31,0,8,8
343,0,5,0,2058.225011,15.61849229,26.31,0,10,10
344,0,5,0,2050.413706,15.61849229,26.31,0,10,10
345,0,5,0,2042.60241,15.61849229,26.31,0,10,10
346,4,6,0,2035.229272,14.74219075,26.31,0,12,12
347,13,5,0,2033.91799,2.618492295,26.31,0,10,10
348,28,5,0,2039.861557,-11.8912,26.31,0,10,10
349,43,5,0,2053.008117,-26.2972,26.31,0,10,10
350,58,5,0,2073.357664,-40.7032,26.31,0,10,10
351,70,6,0,2097.96959,-49.228,26.31,0,12,12
352,76,7,0,2123.962692,-51.9904,26.31,0,14,14
353,92,12,0,2150.138968,-52.3568,26.31,0,24,24
354,97,12,0,2178.716218,-57.1588,26.31,0,24,24
355,105,12,0,2211.13504,-64.842,26.31,0,24,24
356,105,13,0,2242.053828,-61.842,26.31,0,26,26
357,105,12,0,2274.472586,-64.842,26.31,0,24,24
358,105,12,0,2306.891312,-64.842,26.31,0,24,24
359,105,12,0,2339.310005,-64.842,26.31,0,24,24
360,105,13,0,2370.228666,-61.842,26.31,0,26,26
361,105,22,0,2387.647295,-34.842,26.31,0,44,44
362,105,33,0,2388.565908,-1.842,26.31,0,66,66
363,100,20,0,2406.583519,-36.04,26.31,0,40,40
364,95,16,0,2428.200113,-43.238,26.31,0,32,32
365,79,16,0,2442.133484,-27.8716,26.31,0,32,32
366,73,15,0,2454.685642,-25.1092,26.31,0,30,30
367,55,15,0,2458.594188,-7.822,26.31,0,30,30
368,49,13,0,2462.621529,-8.0596,26.31,0,26,26
369,26,13,0,2455.315026,14.60807997,26.31,0,26,26
370,20,13,0,2445.008531,20.60807997,26.31,0,26,26
371,4,12,0,2428.263895,33.48438151,26.31,0,24,24
372,0,12,0,2409.519276,37.48438151,26.31,0,24,24
373,0,11,0,2392.336525,34.36068305,26.31,0,22,22
374,0,7,0,2381.401188,21.86588921,26.31,0,14,14
375,0,6,0,2372.027712,18.74219075,26.31,0,12,12
376,0,6,0,2362.654244,18.74219075,26.31,0,12,12
377,0,5,0,2354.842635,15.61849229,26.31,0,10,10
378,0,5,0,2347.031034,15.61849229,26.31,0,10,10
379,0,5,0,2339.219441,15.61849229,26.31,0,10,10
380,0,5,0,2331.407856,15.61849229,26.31,0,10,10
381,0,5,0,2323.596278,15.61849229,26.31,0,10,10
382,0,5,0,2315.784709,15.61849229,26.31,0,10,10
383,0,5,0,2307.973147,15.61849229,26.31,0,10,10
384,0,5,0,2300.161593,15.61849229,26.31,0,10,10
385,0,5,0,2292.350046,15.61849229,26.31,0,10,10
386,0,5,0,2284.538508,15.61849229,26.31,0,10,10
387,0,6,0,2275.165128,18.74219075,26.31,0,12,12
388,0,4,0,2268.915456,12.49479384,26.31,0,8,8
389,0,5,0,2261.103941,15.61849229,26.31,0,10,10
390,0,5,0,2253.292433,15.61849229,26.31,0,10,10
391,0,6,0,2243.919085,18.74219075,26.31,0,12,12
392,0,5,0,2236.107595,15.61849229,26.31,0,10,10
393,0,5,0,2228.296112,15.61849229,26.31,0,10,10
394,1,5,0,2220.984638,14.61849229,26.31,0,10,10
395,3,5,0,2214.673171,12.61849229,26.31,0,10,10
396,4,6,0,2207.299861,14.74219075,26.31,0,12,12
397,7,5,0,2202.988407,8.618492295,26.31,0,10,10
398,7,5,0,2198.676958,8.618492295,26.31,0,10,10
399,7,5,0,2194.365513,8.618492295,26.31,0,10,10
400,21,6,0,2195.447519,-2.1684,26.31,0,12,12
401,22,11,0,2189.264982,12.36068305,26.31,0,22,22
402,27,12,0,2184.020602,10.48438151,26.31,0,24,24
403,18,11,0,2175.838076,16.36068305,26.31,0,22,22
404,13,12,0,2163.59371,24.48438151,26.31,0,24,24
405,28,18,0,2149.47826,28.22657226,26.31,0,36,36
406,27,25,0,2123.92988,51.09246147,26.31,0,50,50
407,22,15,0,2111.500018,24.85547688,26.31,0,30,30
408,12,37,0,2059.709485,103.576843,26.31,0,74,74
409,11,12,0,2046.465234,26.48438151,26.31,0,24,24
410,15,11,0,2036.782846,19.36068305,26.31,0,22,22
411,12,11,0,2025.600468,22.36068305,26.31,0,22,22
412,12,11,0,2014.418101,22.36068305,26.31,0,22,22
413,8,11,0,2001.235745,26.36068305,26.31,0,22,22
414,2,10,0,1986.615251,29.23698459,26.31,0,20,20
415,3,11,0,1970.932923,31.36068305,26.31,0,22,22
416,3,10,0,1956.81246,28.23698459,26.31,0,20,20
417,2,10,0,1942.192011,29.23698459,26.31,0,20,20
418,2,11,0,1926.009727,32.36068305,26.31,0,22,22
419,1,11,0,1909.327459,33.36068305,26.31,0,22,22
420,0,12,0,1890.583359,37.48438151,26.31,0,24,24
421,0,9,0,1876.524826,28.11328613,26.31,0,18,18
422,0,6,0,1867.151854,18.74219075,26.31,0,12,12
423,0,6,0,1857.778891,18.74219075,26.31,0,12,12
424,0,6,0,1848.405938,18.74219075,26.31,0,12,12
425,0,5,0,1840.594844,15.61849229,26.31,0,10,10
426,0,5,0,1832.783757,15.61849229,26.31,0,10,10
427,0,6,0,1823.410829,18.74219075,26.31,0,12,12
428,0,5,0,1815.599759,15.61849229,26.31,0,10,10
429,0,5,0,1807.788697,15.61849229,26.31,0,10,10
430,0,5,0,1799.977643,15.61849229,26.31,0,10,10
431,0,5,0,1792.166597,15.61849229,26.31,0,10,10
432,0,5,0,1784.355559,15.61849229,26.31,0,10,10
433,0,5,0,1776.544529,15.61849229,26.31,0,10,10
434,0,5,0,1768.733506,15.61849229,26.31,0,10,10
435,0,5,0,1760.922491,15.61849229,26.31,0,10,10
436,0,5,0,1753.111484,15.61849229,26.31,0,10,10
437,0,6,0,1743.738635,18.74219075,26.31,0,12,12
438,0,6,0,1734.365796,18.74219075,26.31,0,12,12
439,0,6,0,1724.992967,18.74219075,26.31,0,12,12
440,0,6,0,1715.620146,18.74219075,26.31,0,12,12
441,0,5,0,1707.809184,15.61849229,26.31,0,10,10
442,1,6,0,1698.936381,17.74219075,26.31,0,12,12
443,1,6,0,1690.063587,17.74219075,26.31,0,12,12
444,2,7,0,1680.128952,19.86588921,26.31,0,14,14
445,6,5,0,1675.318026,9.618492295,26.31,0,10,10
446,9,6,0,1670.445255,9.742190754,26.31,0,12,12
447,13,6,0,1667.572489,5.742190754,26.31,0,12,12
448,14,8,0,1662.076028,10.98958767,26.31,0,16,16
449,24,12,0,1655.332175,13.48438151,26.31,0,24,24
450,26,11,0,1651.150178,8.360683049,26.31,0,22,22
451,37,11,0,1652.415927,-2.5348,26.31,0,22,22
452,42,11,0,1656.082675,-7.3368,26.31,0,22,22
453,62,12,0,1667.853419,-23.5448,26.31,0,24,24
454,72,11,0,1685.926151,-36.1488,26.31,0,22,22
455,76,6,0,1713.419665,-54.9904,26.31,0,12,12
456,72,9,0,1734.492351,-42.1488,26.31,0,18,18
457,56,17,0,1735.881817,-2.7824,26.31,0,34,34
458,62,14,0,1744.652481,-17.5448,26.31,0,28,28
459,72,14,0,1758.225136,-27.1488,26.31,0,28,28
460,68,14,0,1769.876978,-23.3072,26.31,0,28,28
461,39,17,0,1762.823771,14.1028738,26.31,0,34,34
462,26,16,0,1750.832421,23.97917534,26.31,0,32,32
463,45,16,0,1748.341082,4.979175344,26.31,0,32,32
464,39,17,0,1741.287897,14.1028738,26.31,0,34,34
465,25,14,0,1731.920267,18.73177843,26.31,0,28,28
466,22,8,0,1730.423741,2.989587672,26.31,0,16,16
467,8,7,0,1723.489066,13.86588921,26.31,0,14,14
468,5,6,0,1716.616247,13.74219075,26.31,0,12,12
469,0,6,0,1707.243435,18.74219075,26.31,0,12,12
470,0,6,0,1697.870632,18.74219075,26.31,0,12,12
471,0,6,0,1688.497839,18.74219075,26.31,0,12,12
