k,gP1,dA2,sBY,bF,xFD1_xFC2,pBY,v,dD,dD2
6569,0,6,0,1553.732944,6.247396918,25.22,0,12,0
6570,0,5,0,1551.128308,5.206164098,25.22,0,10,0
6571,0,5,0,1548.523675,5.206164098,25.22,0,10,0
6572,0,5,0,1545.919044,5.206164098,25.22,0,10,0
6573,0,6,0,1542.7938,6.247396918,25.22,0,12,0
6574,0,5,0,1540.189175,5.206164098,25.22,0,10,0
6575,0,6,0,1537.063937,6.247396918,25.22,0,12,0
6576,0,6,0,1533.938701,6.247396918,25.22,0,12,0
6577,0,6,0,1530.813469,6.247396918,25.22,0,12,0
6578,0,6,0,1527.688239,6.247396918,25.22,0,12,0
6579,0,6,0,1524.563013,6.247396918,25.22,0,12,0
6580,0,6,0,1521.43779,6.247396918,25.22,0,12,0
6581,0,7,0,1517.791954,7.288629738,25.22,0,14,0
6582,0,5,0,1515.187354,5.206164098,25.22,0,10,0
6583,0,5,0,1512.582757,5.206164098,25.22,0,10,0
6584,0,5,0,1509.978162,5.206164098,25.22,0,10,0
6585,0,6,0,1506.852954,6.247396918,25.22,0,12,0
6586,0,5,0,1504.248365,5.206164098,25.22,0,10,0
6587,0,5,0,1501.643778,5.206164098,25.22,0,10,0
6588,7,5,0,1501.642277,0,25.22,0,10,1.7228
6589,20,6,0,1502.244775,-1.208,25.22,0,12,12
6590,36,6,0,1510.530473,-16.5744,25.22,0,12,12
6591,48,7,0,1523.078562,-25.0992,25.22,0,14,14
6592,58,8,0,1538.928639,-31.7032,25.22,0,16,16
6593,66,7,0,1560.1203,-42.3864,25.22,0,14,14
6594,73,8,0,1583.17334,-46.1092,25.22,0,16,16
6595,74,8,0,1606.706557,-47.0696,25.22,0,16,16
6596,88,8,0,1636.96255,-60.5152,25.22,0,16,16
6597,51,8,0,1649.451113,-24.9804,25.22,0,16,16
6598,71,8,0,1671.543664,-44.1884,25.22,0,16,16
6599,85,7,0,1701.858992,-60.634,25.22,0,14,14
6600,61,8,0,1719.149491,-34.5844,25.22,0,16,16
6601,39,7,0,1727.375571,-16.4556,25.22,0,14,14
6602,62,8,0,1745.146244,-35.5448,25.22,0,16,16
6603,56,7,0,1761.535699,-32.7824,25.22,0,14,14
6604,53,7,0,1776.484537,-29.9012,25.22,0,14,14
6605,51,8,0,1788.972961,-24.9804,25.22,0,16,16
