k,gP1,gP2,dA1,dA2,dB1,dB2,dC1,dC2,sBY,xFC1,xFC2,xFD1,xFD2,bF,bF_actual,s_actual,xFD1_xFC2,xFD1_xFC2_actual,solar_radiation,pBY
25,0.0,0.0,1.0744680851063828,1.01,0.6382978723404256,0.6,10.531914893617023,9.9,47.35106382978433,35.106382978720504,32.99999999999727,0.0,0.0,1906.45,1864.5600000000002,0.0,-32.99999999999727,14.2,-0.7,12.65
26,0.0,0.0,1.6276595744680853,1.53,0.6382978723404256,0.6,13.617021276595747,12.8,47.797872340425535,31.914893617021278,30.0,0.0,0.0,1906.95,1864.5600000000002,0.0,-30.0,17.3,-0.2,12.65
27,0.0,0.0,1.5425531914893618,1.45,0.5319148936170213,0.5,14.25531914893617,13.4,48.24468085106383,31.914893617021278,30.0,0.0,0.0,1907.45,1864.5600000000002,0.0,-30.0,18.3,0.0,12.65
28,0.0,0.0,1.574468085106383,1.48,0.6382978723404256,0.6,10.638297872340425,10.0,47.95744680850773,35.106382978720504,32.99999999999727,0.0,0.0,1908.0,1864.5600000000002,0.0,-32.99999999999727,15.199999999999998,-0.3,12.65
29,0.0,0.0,1.5319148936170215,1.44,0.6382978723404256,0.6,9.680851063829788,9.1,46.95744680852225,35.10638297873501,33.000000000010914,0.0,0.0,1908.5500000000002,1864.5600000000002,0.0,-33.000000000010914,14.2,-0.7,12.65
30,0.0,0.0,1.5425531914893618,1.45,0.6382978723404256,0.6,9.787234042553191,9.2,47.074468085103476,35.106382978720504,32.99999999999727,0.0,0.0,1909.1000000000001,1864.5600000000002,0.0,-32.99999999999727,14.2,-0.7,12.04
31,0.0,0.0,1.4893617021276595,1.4,0.6382978723404256,0.6,10.000000000000002,9.4,47.23404255318859,35.106382978720504,32.99999999999727,0.0,0.0,1909.65,1864.5600000000002,0.0,-32.99999999999727,14.2,-0.9,12.04
32,0.0,0.0,1.5106382978723405,1.42,0.6382978723404256,0.6,13.404255319148938,12.6,47.46808510638297,31.914893617021278,30.0,0.0,0.0,1910.15,1864.5600000000002,0.0,-30.0,17.3,-0.9,12.04
33,0.0,0.0,1.4893617021276595,1.4,0.6382978723404256,0.6,15.425531914893618,14.5,49.46808510638298,31.914893617021278,30.0,0.0,0.0,1910.65,1864.5600000000002,0.0,-30.0,19.3,-1.0,12.04
34,0.0,0.0,1.5319148936170215,1.44,0.6382978723404256,0.6,15.744680851063833,14.8,49.829787234042556,31.914893617021278,30.0,0.0,0.0,1911.15,1864.5600000000002,0.0,-30.0,19.3,-1.1,12.04
35,0.0,0.0,1.4787234042553195,1.3900000000000001,0.6382978723404256,0.6,8.829787234042554,8.3,49.24468085105803,38.29787234041973,35.99999999999454,0.0,0.0,1911.75,1864.5600000000002,0.0,-35.99999999999454,13.2,-0.9,12.04
