k,gP1,gP2,dA1,dA2,dB1,dB2,dC1,dC2,s,v,xFC1,xFC2,xFD1,xFD2,bF,bF_actual,s_actual,xFD1_xFC2,xFD1_xFC2_actual,solar_radiation
80,0.0,0.0,1.7551020408163265,1.72,0.6122448979591837,0.6,8.061224489795919,7.900000000000001,0.0,0.0,0.0,0.0,10.641399416909621,10.428571428571429,1493.0148589397966,1508.1000000000001,0.0,10.641399416909621,12.3,-1.4
81,0.0,0.0,1.7448979591836737,1.7100000000000002,0.6122448979591837,0.6,7.142857142857143,7.0,0.0,0.0,0.0,0.0,9.693877551020408,9.500000000000002,1492.8518012990871,1508.1000000000001,0.0,9.693877551020408,12.4,-1.4
82,0.0,0.0,2.3775510204081636,2.33,0.6122448979591837,0.6,6.428571428571428,6.3,0.0,0.0,0.0,0.0,9.610578925447731,9.418367346938776,1492.6901321318617,1508.1000000000001,0.0,9.610578925447731,11.3,-1.4
83,0.0,0.0,1.704081632653061,1.67,0.6122448979591837,0.6,6.530612244897959,6.4,0.0,0.0,0.0,0.0,9.027488546438983,8.846938775510203,1492.538181299289,1508.1000000000001,0.0,9.027488546438983,11.3,-1.2
84,0.0,0.0,2.0510204081632653,2.0100000000000002,0.6122448979591837,0.6,6.632653061224491,6.5,0.0,0.0,0.0,0.0,9.485630987088713,9.295918367346939,1492.3785949113228,1508.1000000000001,1.0,9.485630987088713,11.3,-1.2
85,0.0,0.0,2.7040816326530615,2.65,0.6122448979591837,0.6,7.857142857142858,7.699999999999999,0.0,0.0,0.0,0.0,11.40149937526031,11.173469387755103,1492.18707754314,1508.1000000000001,2.0,11.40149937526031,11.3,-1.2
86,0.0,0.0,2.663265306122449,2.6100000000000003,0.6122448979591837,0.6,8.877551020408163,8.7,0.0,0.0,0.0,0.0,12.401082882132444,12.153061224489795,1491.9789006413603,1508.1000000000001,0.0,12.401082882132444,13.4,-1.0
87,0.0,0.0,1.510204081632653,1.48,0.6122448979591837,0.6,7.959183673469388,7.800000000000001,0.0,0.0,0.0,0.0,10.28738025822574,10.081632653061224,1491.8059523248226,1508.1000000000001,-2.0,10.28738025822574,14.4,-0.7
88,0.0,0.0,1.4489795918367347,1.42,0.6122448979591837,0.6,7.142857142857143,7.0,0.0,0.0,0.0,0.0,9.391920033319453,9.204081632653063,1491.647928518315,1508.1000000000001,0.0,9.391920033319453,12.3,-0.6
89,0.0,0.0,1.4387755102040816,1.41,0.6122448979591837,0.6,7.244897959183673,7.1,0.0,0.0,0.0,0.0,9.485630987088712,9.295918367346939,1491.4883430206014,1508.1000000000001,0.0,9.485630987088712,11.3,-0.4
90,0.0,0.0,1.4387755102040816,1.41,0.6122448979591837,0.6,7.244897959183673,7.1,0.0,0.0,0.0,0.0,9.485630987088712,9.295918367346939,1491.3287576824735,1508.1000000000001,0.0,9.485630987088712,11.3,-0.3
91,0.0,0.0,1.2346938775510203,1.21,0.6122448979591837,0.6,7.040816326530613,6.9,0.0,0.0,0.0,0.0,9.069137859225323,8.887755102040817,1491.176114056062,1508.1000000000001,-1.0,9.069137859225323,11.3,-0.2
92,0.0,0.0,1.2142857142857142,1.19,0.6122448979591837,0.6,8.061224489795919,7.900000000000001,0.0,0.0,0.0,0.0,10.08954602249063,9.887755102040817,1491.006463779573,1508.1000000000001,1.0,10.08954602249063,11.3,-0.1
93,0.0,0.0,1.193877551020408,1.17,0.6122448979591837,0.6,9.183673469387756,9.0,0.0,0.0,0.0,0.0,11.214077467721783,10.989795918367347,1490.8180714819805,1508.1000000000001,1.0,11.214077467721783,12.4,-0.1
94,0.0,0.0,1.153061224489796,1.1300000000000001,0.6122448979591837,0.6,7.346938775510205,7.2,0.0,0.0,0.0,0.0,9.298209079550189,9.112244897959185,1490.6616105125831,1508.1000000000001,-1.0,9.298209079550189,12.4,0.0
95,0.0,0.0,1.5,1.47,0.6122448979591837,0.6,7.448979591836735,7.3,0.0,0.0,0.0,0.0,9.756351520199917,9.561224489795919,1490.4975139923024,1508.1000000000001,0.0,9.756351520199917,11.4,-0.1
96,0.0,0.0,1.6122448979591837,1.58,0.6122448979591837,0.6,7.448979591836735,7.3,0.0,0.0,0.0,0.0,9.870887130362348,9.673469387755102,1490.3315087092824,1508.1000000000001,1.0,9.870887130362348,11.3,-0.1
97,0.0,0.0,1.5612244897959187,1.53,0.6122448979591837,0.6,7.551020408163265,7.4,0.0,0.0,0.0,0.0,9.922948771345276,9.724489795918368,1490.1646358982512,1480.68,-1.0,9.922948771345276,12.3,0.0
98,0.0,0.0,1.5816326530612246,1.55,0.6122448979591837,0.6,8.673469387755102,8.5,0.0,0.0,0.0,0.0,11.089129529362767,10.86734693877551,1489.9783269081258,1480.68,1.0,11.089129529362767,12.3,0.0
99,0.0,0.0,1.2448979591836735,1.22,0.6122448979591837,0.6,9.489795918367347,9.3,0.0,0.0,0.0,0.0,11.57850895460225,11.346938775510205,1489.7838617805555,1480.68,0.0,11.57850895460225,13.4,-0.1
100,0.0,0.0,1.5918367346938778,1.56,0.6122448979591837,0.6,8.673469387755102,8.5,0.0,0.0,0.0,0.0,11.09954185755935,10.877551020408163,1489.597379632401,1480.68,0.0,11.09954185755935,13.4,-0.1
101,0.0,0.0,2.693877551020408,2.6399999999999997,0.6122448979591837,0.6,8.061224489795919,7.900000000000001,0.0,0.0,0.0,0.0,11.59933361099542,11.36734693877551,1489.4025678081714,1480.68,0.0,11.59933361099542,13.4,-0.1
102,0.0,0.0,3.244897959183674,3.18,0.6122448979591837,0.6,7.448979591836735,7.3,0.0,0.0,0.0,0.0,11.536859641815912,11.306122448979593,1489.2087974115734,1480.68,0.0,11.536859641815912,13.4,-0.1
103,0.0,0.0,2.13265306122449,2.09,0.6122448979591837,0.6,7.448979591836735,7.3,0.0,0.0,0.0,0.0,10.401915868388171,10.193877551020407,1489.0339429383027,1480.68,0.0,10.401915868388171,12.4,-0.1
104,0.0,0.0,2.0510204081632653,2.0100000000000002,0.6122448979591837,0.6,8.673469387755102,8.5,0.0,0.0,0.0,0.0,11.568096626405666,11.33673469387755,1488.8396522939197,1480.68,1.0,11.568096626405666,12.3,-0.3
105,0.0,0.0,2.1530612244897966,2.1100000000000003,0.6122448979591837,0.6,9.081632653061224,8.9,0.0,0.0,0.0,0.0,12.088713036234902,11.846938775510205,1488.6366849036633,1480.68,0.0,12.088713036234902,14.4,-0.2
106,0.0,0.0,2.13265306122449,2.09,0.6122448979591837,0.6,7.346938775510205,7.2,0.0,0.0,0.0,0.0,10.297792586422325,10.091836734693878,1488.4635663905378,1480.68,-2.0,10.297792586422325,14.4,-0.2
107,0.0,0.0,1.7244897959183674,1.69,0.6122448979591837,0.6,7.346938775510205,7.2,0.0,0.0,0.0,0.0,9.881299458558935,9.683673469387756,1488.2973896026622,1480.68,0.0,9.881299458558935,12.3,-0.3
108,0.0,0.0,1.7346938775510206,1.7,0.7142857142857142,0.7,7.346938775510205,7.2,0.0,0.0,0.0,0.0,9.995835068721368,9.795918367346939,1488.1293040541273,1480.68,0.0,9.995835068721368,12.3,-0.2
109,0.0,0.0,1.6938775510204085,1.6600000000000001,0.7142857142857142,0.7,7.448979591836735,7.3,0.0,0.0,0.0,0.0,10.058309037900875,9.857142857142858,1487.960177440858,1480.68,-1.0,10.058309037900875,12.3,-0.3
110,0.0,0.0,1.510204081632653,1.48,0.7142857142857142,0.7,8.571428571428573,8.4,0.0,0.0,0.0,0.0,11.016243231986673,10.795918367346939,1487.775085426814,1480.68,1.0,11.016243231986673,12.3,-0.3
111,0.0,0.0,1.5,1.47,0.7142857142857142,0.7,8.775510204081634,8.6,0.0,0.0,0.0,0.0,11.214077467721784,10.98979591836735,1487.5866963605997,1480.68,0.0,11.214077467721784,13.4,-0.3
