太陽光発電電力,系統購入電力,蓄電池MegaPower放電電力,工場全消費電力,6600/210-105V 75kVA 全体,6600/210V 300kVA 全体,6600/210V 500kVA 全体,No.1系特定負荷 商用電力,No.2系特定負荷 商用電力,No1太陽光PCS直流電力,No1太陽光PCS交流電力,No2太陽光PCS直流電力,No2太陽光PCS交流電力,日射量,直流電力の合計値,蓄電池,売買電単価,売買電価格(30分ごと),交流/直流,Unnamed: 21,Unnamed: 22,テクシード国府工場動力Tr,テクシード国府工場電灯Tr,テクシード国府工場全体,Unnamed: 26,Unnamed: 27
0.0,0,13.2,11.3,1.3900000000000001,0.6,8.3,4.3,0.1,0,0,0,0,-0.9,0,68.0,12.04,20.51,0.0,,,0.0,2.0,2.0,,
0.0,0,13.2,11.2,1.35,0.6,8.4,4.3,0.1,0,0,0,0,-0.8,0,68.0,12.04,24.0,0.0,,,0.0,2.0,2.0,,
0.0,0,13.2,11.3,1.3699999999999999,0.6,8.5,4.3,0.1,0,0,0,0,-0.7,0,68.0,12.04,23.0,0.0,,,0.0,2.0,2.0,,
0.0,0,15.3,13.3,1.48,0.6,10.4,4.3,0.1,0,0,0,0,-0.9,0,68.0,12.04,20.02,0.0,,,0.0,2.0,2.0,,
0.0,0,16.3,14.0,0.99,0.6,11.7,4.3,0.1,0,0,0,0,-0.9,0,68.0,12.04,20.46,0.0,,,0.0,2.0,2.0,,
0.0,0,16.3,15.1,0.99,0.5,12.6,4.3,0.1,0,0,0,0,-0.9,0,68.0,12.04,20.0,0.0,,,0.0,2.0,2.0,,
0.0,0,16.3,14.4,1.02,0.6,11.8,4.2,0.1,0,0,0,0,-0.8,0,68.0,12.04,18.99,0.0,,,0.0,2.0,2.0,,
0.0,0,12.2,10.7,0.93,0.6,8.3,4.2,0.1,0,0,0,0,-0.5,0,68.0,12.04,16.59,0.0,,,0.0,2.0,2.0,,
0.0,0,12.2,10.7,0.9199999999999999,0.6,8.3,4.3,0.1,0,0,0,0,-0.3,0,68.0,12.04,16.21,0.0,,,0.0,2.0,2.0,,
0.0,0,14.2,12.6,0.9,0.6,10.3,4.3,0.1,0,0,0,0,-0.3,0,68.0,12.04,15.76,0.0,,,0.0,2.0,2.0,,
0.0,0,14.2,12.8,0.9099999999999999,0.6,10.5,4.3,0.1,0,0,0,0,-0.1,0,68.0,12.04,14.22,0.0,,,0.0,2.0,2.0,,
0.0,0,16.2,14.2,0.8800000000000001,0.6,11.6,4.3,0.1,0,0,0,0,0.0,0,68.0,12.04,13.95,0.0,,,0.0,1.0,2.0,,
0.0,0,16.3,14.8,0.9199999999999999,0.6,13.1,4.3,0.1,0,0,0,0,0.0,0,68.0,12.04,11.5,0.0,,,0.0,2.0,2.0,,
0.0,0,19.4,17.5,1.9899999999999998,0.6,14.2,4.3,0.1,0,0,0,0,-0.1,0,68.0,12.04,13.04,0.0,,,0.0,2.0,2.0,,
0.0,0,14.3,12.5,1.94,0.5,9.1,4.3,0.1,0,0,0,0,-0.3,0,68.0,12.04,12.63,0.0,,,0.0,1.0,2.0,,
0.0,0,15.3,13.2,0.8699999999999999,0.5,10.8,4.3,0.1,0,0,0,0,-0.3,0,68.0,12.04,12.11,0.0,,,0.0,2.0,2.0,,
0.0,0,15.3,13.1,0.9099999999999999,0.5,10.8,4.3,0.1,0,0,0,0,-0.3,0,68.0,12.04,11.67,0.0,,,0.0,2.0,2.0,,
0.0,0,13.2,12.6,0.8699999999999999,0.5,10.4,4.3,0.1,0,0,0,0,-0.4,0,68.0,12.04,9.65,0.0,,,0.0,2.0,2.0,,
0.0,0,14.3,12.6,0.99,0.5,10.3,4.3,0.1,0,0,0,0,-0.5,0,68.0,12.04,9.37,0.0,,,0.0,2.0,2.0,,
0.0,0,15.2,13.1,1.06,0.5,11.0,4.3,0.1,0,0,0,0,-0.5,0,68.0,12.04,8.91,0.0,,,0.0,2.0,2.0,,
0.0,0,16.3,14.2,0.9800000000000001,0.5,11.7,4.3,0.1,0,0,0,0,-0.3,0,68.0,12.04,8.91,0.0,,,0.0,2.0,2.0,,
0.0,0,14.2,12.5,1.0,0.5,10.0,4.3,0.1,0,0,0,0,-0.4,0,68.0,12.04,8.91,0.0,,,0.0,2.0,2.0,,
0.0,0,14.2,12.4,0.93,0.5,10.0,4.3,0.1,0,0,0,0,-0.6,0,68.0,12.04,9.17,0.0,,,0.0,2.0,2.0,,
0.0,0,13.2,12.5,0.93,0.5,10.2,4.3,0.1,0,0,0,0,-0.7,0,68.0,12.04,10.21,0.0,,,0.0,2.0,2.0,,
0.0,0,13.2,11.2,0.9400000000000001,0.5,8.8,4.3,0.1,0,0,0,0,-0.6,0,68.0,12.04,9.14,0.0,,,0.0,2.0,2.0,,
0.0,0,14.2,12.8,1.42,0.5,10.1,4.3,0.1,0,0,0,0,-0.8,0,68.0,10.76,9.89,0.0,,,0.0,2.0,2.0,,
0.0,0,18.3,14.5,1.49,0.5,11.8,4.3,0.1,0,0,0,0,-1.0,0,68.0,10.76,9.14,0.0,,,0.0,2.0,2.0,,
0.0,0,20.4,19.0,1.67,0.5,15.9,4.3,0.1,0,0,0,0,-1.0,0,68.0,10.76,8.91,0.0,,,0.0,2.0,3.0,,
0.0,0,15.2,13.6,1.4300000000000002,0.5,10.7,4.3,0.1,0,0,0,0,-1.0,0,68.0,10.76,10.21,0.0,,,0.0,3.0,3.0,,
0.0,0,14.2,13.7,1.44,0.5,10.8,4.3,0.1,0,0,0,0,-0.9,0,68.0,10.76,12.09,0.0,,,0.0,2.0,2.0,,
0.0,0,14.2,12.0,1.46,0.5,9.2,4.3,0.1,0,0,0,0,-0.9,0,68.0,10.76,12.58,0.0,,,0.0,3.0,3.0,,
0.0,0,14.2,12.2,1.41,0.6,9.4,4.3,0.1,0,0,0,0,-0.9,0,68.0,10.76,12.65,0.0,,,0.0,3.0,3.0,,
0.0,0,16.3,12.8,1.45,0.6,9.8,4.3,0.1,0,0,0,0,-0.8,0,68.0,10.76,7.7,0.0,,,0.0,2.0,2.0,,
0.0,1,17.3,15.7,1.1400000000000001,0.6,13.2,4.3,0.1,0,0,0,0,-0.6,0,68.0,10.76,7.7,0.0,,,0.0,2.0,2.0,,
0.0,0,18.3,16.2,1.1300000000000001,0.6,13.6,4.3,0.1,0,0,0,0,-0.7,0,68.0,10.76,7.7,0.0,,,0.0,2.0,2.0,,
0.0,0,13.2,12.7,1.17,0.6,10.1,4.3,0.1,0,0,0,0,-0.9,0,68.0,10.76,7.7,0.0,,,0.0,2.0,2.0,,
0.0,0,13.2,11.3,1.1800000000000002,0.6,8.6,4.4,0.1,0,0,0,0,-1.0,0,68.0,10.76,7.7,0.0,,,0.0,2.0,4.0,,
0.0,0,13.2,11.3,1.04,0.6,8.8,4.5,0.1,0,0,0,0,-0.8,0,68.0,10.76,7.39,0.0,,,0.0,2.0,2.0,,
0.0,1,15.3,12.0,1.08,0.6,9.5,5.2,0.1,0,0,0,0,-0.7,0,68.0,10.76,7.4,0.0,,,0.0,2.0,2.0,,
0.0,0,19.4,17.8,1.0,0.6,15.3,7.7,0.1,0,0,0,0,-0.7,0,68.0,10.76,7.93,0.0,,,0.0,3.0,2.0,,
0.0,-1,21.4,20.4,1.04,0.6,18.4,8.8,0.1,0,0,0,0,-0.7,0,68.0,10.76,8.12,0.0,,,0.0,2.0,3.0,,
0.0,0,18.4,18.6,1.03,0.6,16.0,5.3,0.1,0,0,0,0,-0.4,0,68.0,10.76,8.31,0.0,,,0.0,2.0,2.0,,
0.0,0,12.2,11.9,2.07,0.5,8.6,4.4,0.1,0,0,0,0,-0.3,0,68.0,10.76,12.0,0.0,,,0.0,2.0,2.0,,
0.0,0,14.3,12.5,2.0300000000000002,0.5,9.2,4.3,0.1,0,0,0,0,-0.3,0,68.0,10.76,14.02,0.0,,,0.0,2.0,2.0,,
