month,消費電力量,PV発電量,PV使用量,PV抑制量,買電量,平均SOC,最大買電電力
1,40195.0,20860.0,20860.0,0.0,19725.28,399.35,38.550994375833525
2,36671.0,25254.0,25254.0,0.0,12359.87,402.73,29.726050678454893
3,49038.0,32398.0,32398.0,0.0,16725.55,413.54,57.08750917286927
4,54890.0,26646.0,26646.0,0.0,29163.37,444.69,73.01004656188304
5,66616.0,27079.0,27079.0,-0.0,40011.75,471.12,105.04484126984124
6,77588.0,24833.0,24833.0,-0.0,53113.25,420.82,121.789208110573
7,111215.0,25616.0,25616.0,-0.0,86252.18,445.91,193.6930276347123
8,118228.0,18807.0,18807.0,0.0,99795.73,402.14,202.98542274052477
9,90874.0,24871.0,24871.0,0.0,66416.61,395.95,160.46161841900104
10,72491.0,22019.0,22019.0,-0.0,51056.54,401.04,152.0
11,49925.0,19486.0,19486.0,-0.0,30914.57,369.82,70.54020756303274
12,45251.0,19764.0,19764.0,0.0,25794.89,403.82,45.36903649737415
