month,消費電力量,PV発電量,PV使用量,PV抑制量,買電量,平均SOC,最大買電電力
1,40195.0,20860.0,20860.0,0.0,19736.44,339.47,41.54482938401469
2,36671.0,25254.0,25254.0,-0.0,12346.9,367.64,29.793377891593813
3,49038.0,32398.0,32398.0,-0.0,16810.63,381.12,77.18642771838701
4,54890.0,26646.0,26646.0,-0.0,28974.0,393.72,88.35743425008883
5,66616.0,27079.0,27079.0,-0.0,39942.38,408.64,142.64275301957514
6,77588.0,24833.0,24833.0,-0.0,53339.55,357.17,125.97159109773244
7,111215.0,25616.0,25616.0,-0.0,86201.33,397.68,200.3101088832034
8,118228.0,18807.0,18807.0,0.0,99789.94,359.98,218.0548283526797
9,90874.0,24871.0,24871.0,0.0,66705.85,358.63,193.36809472143833
10,72491.0,22019.0,22019.0,-0.0,50876.54,364.25,160.24293476441778
11,49925.0,19486.0,19486.0,-0.0,30840.93,274.78,81.13038778543441
12,45251.0,19764.0,19764.0,0.0,25796.89,296.48,51.91969890049961
