month,消費電力量,PV発電量,PV使用量,PV抑制量,買電量,平均SOC,最大買電電力
1,40195.0,20860.0,20860.0,0.0,19698.36,418.79,37.9399766825918
2,36671.0,25254.0,25254.0,0.0,12345.05,390.08,29.633112570244126
3,49038.0,32398.0,32398.0,-0.0,16696.42,413.75,62.863435089421245
4,54890.0,26646.0,26646.0,-0.0,29280.31,450.85,83.84671025333347
5,66616.0,27079.0,27079.0,-0.0,39620.29,498.77,105.92585365853664
6,77588.0,24833.0,24833.0,0.0,53262.36,441.09,147.9571670930683
7,111215.0,25616.0,25616.0,-0.0,86516.5,449.97,187.89319204991685
8,118228.0,18807.0,18807.0,0.0,99696.08,436.65,175.85236558886558
9,90874.0,24871.0,24871.0,0.0,66483.79,437.79,144.32332369018198
10,72491.0,22019.0,22019.0,-0.0,51371.7,409.1,121.357961030229
11,49925.0,19486.0,19486.0,-0.0,30628.33,441.21,62.387640189081495
12,45251.0,19764.0,19764.0,-0.0,25773.57,440.98,44.86755375598818
