month,消費電力量,PV発電量,PV使用量,PV抑制量,買電量,平均SOC,最大買電電力
1,40195.0,20860.0,20860.0,-0.0,19737.21,336.64,41.95813900436431
2,36671.0,25254.0,25254.0,-0.0,12346.96,364.21,29.836941051018375
3,49038.0,32398.0,32398.0,-0.0,16815.42,381.57,71.9156377870163
4,54890.0,26646.0,26646.0,-0.0,28979.11,396.78,86.42559426896776
5,66616.0,27079.0,27079.0,0.0,39929.44,418.47,136.5652198560118
6,77588.0,24833.0,24833.0,-0.0,53337.35,355.48,125.6452185265407
7,111215.0,25616.0,25616.0,-0.0,86205.43,402.06,200.3101088832034
8,118228.0,18807.0,18807.0,0.0,99795.74,365.11,218.0548283526797
9,90874.0,24871.0,24871.0,0.0,66690.69,366.5,188.31619978171608
10,72491.0,22019.0,22019.0,-0.0,50906.28,364.89,160.24293476441778
11,49925.0,19486.0,19486.0,0.0,30827.75,278.64,81.13038778543441
12,45251.0,19764.0,19764.0,-0.0,25797.73,294.93,52.30005099093895
