timestamp,consumption_kW,pv_kW,demand_kW,sBY,sSL,pv_used_kW,pv_surplus_kW,xFC1,xFD1,bF,price_yen_per_kWh,sBYMAX_horizon,status
2024-04-09 05:00:00.001,30.0,0.0,30.0,46.31532083642335,0.0,0.0,0.0,16.315320836423354,0.0,391.36861881988165,24.44,46.31532083642335,optimal
2024-04-09 05:30:00.001,78.0,0.0,78.0,46.31532083642335,0.0,0.0,0.0,0.0,32.33130526895576,375.2029661854038,24.44,46.31532083642335,optimal
2024-04-09 06:00:00.001,98.0,2.0,98.0,46.315320836423375,0.0,2.0,0.0,0.0,50.69865220773125,349.8536400815382,24.44,46.315320836423375,optimal
2024-04-09 06:30:00.001,24.0,2.0,24.0,46.315320836423375,0.0,2.0,0.0,24.315320836423375,0.0,361.7681472913857,24.44,46.315320836423375,optimal
2024-04-09 07:00:00.001,78.0,6.0,78.0,46.31532083642335,0.0,6.0,0.0,0.0,26.208856289363926,348.6637191467037,24.44,46.31532083642335,optimal
2024-04-09 07:30:00.001,58.0,8.0,58.0,46.31532083642335,0.0,8.0,0.0,0.0,3.7598766975271904,346.7837807979401,24.44,46.31532083642335,optimal
2024-04-09 08:00:00.001,96.0,8.0,96.0,46.31532083642337,0.0,8.0,0.0,0.0,42.53538690160881,325.5160873471357,24.44,46.31532083642337,optimal
2024-04-09 08:30:00.001,74.0,8.0,74.0,46.31532083642337,0.0,8.0,0.0,0.0,20.086407309772074,315.47288369224964,24.44,46.31532083642337,optimal
2024-04-09 09:00:00.001,40.0,12.0,40.0,46.31532083642337,0.0,12.0,0.0,18.315320836423368,0.0,324.4473909020971,24.44,46.31532083642337,optimal
2024-04-09 09:30:00.001,108.0,12.0,108.0,46.31532083642337,0.0,12.0,0.0,0.0,50.69865220773126,299.09806479823146,24.44,46.31532083642337,optimal
2024-04-09 10:00:00.001,58.0,10.0,58.0,46.315320836423375,0.0,10.0,0.0,0.0,1.7190603709965564,298.2385346127332,24.44,46.315320836423375,optimal
2024-04-09 10:30:00.001,80.0,12.0,80.0,46.315320836423375,0.0,12.0,0.0,0.0,22.12722363630268,287.17492279458185,24.44,46.315320836423375,optimal
2024-04-09 11:00:00.001,44.0,14.0,44.0,46.31532083642337,0.0,14.0,0.0,16.315320836423368,0.0,295.1694300044293,24.44,46.31532083642337,optimal
2024-04-09 11:30:00.001,50.0,14.0,50.0,46.31532083642337,0.0,14.0,0.0,10.315320836423368,0.0,300.22393721427676,24.44,46.31532083642337,optimal
2024-04-09 12:00:00.001,80.0,14.0,80.0,46.31532083642337,0.0,14.0,0.0,0.0,20.086407309772074,290.1807335593907,24.44,46.31532083642337,optimal
2024-04-09 12:30:00.001,82.0,14.0,82.0,46.31532083642337,0.0,14.0,0.0,0.0,22.127223636302688,279.1171217412394,24.44,46.31532083642337,optimal
2024-04-09 13:00:00.001,58.0,12.0,58.0,46.315320836423375,0.0,12.0,0.0,0.31532083642337483,0.0,279.2716289510868,24.44,46.315320836423375,optimal
2024-04-09 13:30:00.001,34.0,12.0,34.0,46.315320836423375,0.0,12.0,0.0,24.315320836423375,0.0,291.18613616093427,24.44,46.315320836423375,optimal
2024-04-09 14:00:00.001,90.0,12.0,90.0,46.31532083642336,0.0,12.0,0.0,0.0,32.33130526895575,275.0204835264564,24.44,46.31532083642336,optimal
2024-04-09 14:30:00.001,80.0,10.0,80.0,46.31532083642336,0.0,10.0,0.0,0.0,24.168039962833305,262.9364635450397,24.44,46.31532083642336,optimal
2024-04-09 15:00:00.001,48.0,12.0,48.0,46.31532083642336,0.0,12.0,0.0,10.31532083642336,0.0,267.99097075488714,24.44,46.31532083642336,optimal
2024-04-09 15:30:00.001,28.0,10.0,28.0,46.31532083642336,0.0,10.0,0.0,28.31532083642336,0.0,281.8654779647346,24.44,46.31532083642336,optimal
2024-04-09 16:00:00.001,76.0,6.0,76.0,46.31532083642336,0.0,6.0,0.0,0.0,24.168039962833305,269.781457983318,24.44,46.31532083642336,optimal
2024-04-09 16:30:00.001,84.0,4.0,84.0,46.31532083642336,0.0,4.0,0.0,0.0,34.37212159548637,252.5953971855748,24.44,46.31532083642336,optimal
2024-04-09 17:00:00.001,62.0,2.0,62.0,46.31532083642337,0.0,2.0,0.0,0.0,13.963958330180237,245.6134180204847,24.44,46.31532083642337,optimal
2024-04-09 17:30:00.001,44.0,0.0,44.0,46.31532083642337,0.0,0.0,0.0,2.3153208364233677,0.0,246.74792523033213,24.44,46.31532083642337,optimal
2024-04-09 18:00:00.001,74.0,0.0,74.0,46.31532083642337,0.0,0.0,0.0,0.0,28.249672615894525,232.62308892238485,24.44,46.31532083642337,optimal
2024-04-09 18:30:00.001,64.0,0.0,64.0,46.31532083642337,0.0,0.0,0.0,0.0,18.04559098324146,223.60029343076414,24.44,46.31532083642337,optimal
2024-04-09 19:00:00.001,68.0,0.0,68.0,46.31532083642337,0.0,0.0,0.0,0.0,22.127223636302688,212.5366816126128,24.44,46.31532083642337,optimal
2024-04-09 19:30:00.001,54.0,0.0,54.0,46.31532083642337,0.0,0.0,0.0,0.0,7.8415093505884,208.6159269373186,24.44,46.31532083642337,optimal
2024-04-09 20:00:00.001,74.0,0.0,74.0,46.31532083642337,0.0,0.0,0.0,0.0,28.249672615894525,194.49109062937134,24.44,46.31532083642337,optimal
2024-04-09 20:30:00.001,30.0,0.0,30.0,46.31532083642337,0.0,0.0,0.0,16.315320836423368,0.0,202.4855978392188,24.44,46.31532083642337,optimal
2024-04-09 21:00:00.001,72.0,0.0,72.0,46.31532083642337,0.0,0.0,0.0,0.0,26.20885628936391,189.38116969453685,24.44,46.31532083642337,optimal
2024-04-09 21:30:00.001,66.0,0.0,66.0,46.31532083642337,0.0,0.0,0.0,0.0,20.086407309772074,179.3379660396508,24.44,46.31532083642337,optimal
2024-04-09 22:00:00.001,78.0,0.0,78.0,46.31532083642336,0.0,0.0,0.0,0.0,32.33130526895575,163.17231340517293,24.44,46.31532083642336,optimal
2024-04-09 22:30:00.001,18.0,0.0,18.0,46.31532083642336,0.0,0.0,0.0,28.31532083642336,0.0,177.04682061502038,24.44,46.31532083642336,optimal
2024-04-09 23:00:00.001,54.0,0.0,54.0,46.31532083642335,0.0,0.0,0.0,0.0,7.841509350588415,173.12606593972617,24.44,46.31532083642335,optimal
2024-04-09 23:30:00.001,96.0,0.0,96.0,46.31532083642335,0.0,0.0,0.0,0.0,50.69865220773127,147.77673983586055,24.44,46.31532083642335,optimal
2024-04-10 00:00:00.001,64.0,0.0,64.0,46.31532083642336,0.0,0.0,0.0,0.0,18.045590983241468,138.7539443442398,24.44,46.31532083642336,optimal
2024-04-10 00:30:00.001,32.0,0.0,32.0,46.31532083642336,0.0,0.0,0.0,14.31532083642336,0.0,145.76845155408728,24.44,46.31532083642336,optimal
2024-04-10 01:00:00.001,42.0,0.0,42.0,46.315320836423375,0.0,0.0,0.0,4.315320836423375,0.0,147.88295876393474,24.44,46.315320836423375,optimal
2024-04-10 01:30:00.001,96.0,0.0,96.0,46.315320836423375,0.0,0.0,0.0,0.0,50.69865220773125,122.53363266006912,24.44,46.315320836423375,optimal
2024-04-10 02:00:00.001,72.0,0.0,72.0,46.31532083642335,0.0,0.0,0.0,0.0,26.208856289363926,109.42920451538716,24.44,46.31532083642335,optimal
2024-04-10 02:30:00.001,52.0,0.0,52.0,46.31532083642335,0.0,0.0,0.0,0.0,5.800693024057803,106.52885800335827,24.44,46.31532083642335,optimal
2024-04-10 03:00:00.001,36.0,0.0,36.0,46.31532083642335,0.0,0.0,0.0,10.315320836423354,0.0,111.58336521320571,24.44,46.31532083642335,optimal
2024-04-10 03:30:00.001,64.0,0.0,64.0,46.31532083642335,0.0,0.0,0.0,0.0,18.045590983241475,102.56056972158498,24.44,46.31532083642335,optimal
2024-04-10 04:00:00.001,76.0,0.0,76.0,46.31532083642335,0.0,0.0,0.0,0.0,30.29048894242515,87.4153252503724,24.44,46.31532083642335,optimal
2024-04-10 04:30:00.001,50.0,0.0,50.0,46.31532083642335,0.0,0.0,0.0,0.0,3.7598766975271904,85.5353869016088,24.44,46.31532083642335,optimal
2024-04-10 05:00:00.001,84.0,6.0,84.0,46.315320836423375,0.0,6.0,0.0,0.0,32.33130526895574,69.36973426713094,24.44,46.315320836423375,optimal
2024-04-10 05:30:00.001,106.0,8.0,106.0,46.31532083642337,0.0,8.0,0.0,0.0,52.739468534261874,43.0,24.44,46.315320836423375,optimal
2024-04-10 06:00:00.001,38.0,34.0,38.0,40.496811976574534,0.0,34.0,0.0,36.496811976574534,0.0,60.88343786852152,24.44,40.496811976574534,optimal
2024-04-10 06:30:00.001,42.0,52.0,42.0,40.496811976574534,0.0,52.0,0.0,50.496811976574534,0.0,85.62687573704304,24.44,40.496811976574534,optimal
2024-04-10 07:00:00.001,100.0,76.0,100.0,24.0,0.0,76.0,0.0,0.0,0.0,85.62687573704304,24.44,40.49681197657454,optimal
2024-04-10 07:30:00.001,84.0,94.0,84.0,40.49681197657454,0.0,94.0,0.0,50.49681197657454,0.0,110.37031360556456,24.44,40.49681197657454,optimal
2024-04-10 08:00:00.001,36.0,116.0,36.0,40.496811976574556,0.0,116.0,0.0,120.49681197657455,0.0,169.4137514740861,24.44,40.496811976574556,optimal
2024-04-10 08:30:00.001,110.0,132.0,110.0,40.496811976574556,0.0,132.0,0.0,62.496811976574556,0.0,200.03718934260763,24.44,40.496811976574556,optimal
2024-04-10 09:00:00.001,40.0,148.0,40.0,0.0,0.0,148.0,0.0,108.0,0.0,252.95718934260765,24.44,40.49681197657456,optimal
2024-04-10 09:30:00.001,90.0,160.0,90.0,0.0,0.0,160.0,0.0,70.0,0.0,287.25718934260766,24.44,40.49681197657456,optimal
2024-04-10 10:00:00.001,108.0,172.0,108.0,40.49681197657451,0.0,172.0,0.0,104.49681197657452,0.0,338.4606272111292,24.44,40.49681197657451,optimal
2024-04-10 10:30:00.001,96.0,176.0,96.0,40.49681197657451,0.0,176.0,0.0,120.49681197657452,0.0,397.5040650796507,24.44,40.49681197657451,optimal
2024-04-10 11:00:00.001,70.0,180.0,70.0,40.49681197657454,0.0,180.0,0.0,150.49681197657455,0.0,471.2475029481722,24.44,40.49681197657454,optimal
2024-04-10 11:30:00.001,38.0,180.0,38.0,40.49681197657454,0.0,180.0,0.0,182.49681197657455,0.0,560.6709408166937,24.44,40.49681197657454,optimal
2024-04-10 12:00:00.001,126.0,170.0,126.0,0.0,0.0,170.0,0.0,44.0,0.0,582.2309408166936,24.44,40.49681197657454,optimal
2024-04-10 12:30:00.001,108.0,164.0,108.0,40.49681197657454,0.0,164.00000000000003,0.0,96.49681197657456,0.0,629.5143786852152,24.44,40.49681197657454,optimal
2024-04-10 13:00:00.001,94.0,158.0,94.0,19.562811498351806,0.0,158.0,0.0,83.5628114983518,0.0,670.4601563194076,24.44,40.49681197657456,optimal
2024-04-10 13:30:00.001,76.0,148.0,76.0,40.49681197657456,0.0,148.0,0.0,112.49681197657456,0.0,725.5835941879291,24.44,40.49681197657456,optimal
2024-04-10 14:00:00.001,78.0,130.0,78.0,0.0,0.0,130.0,0.0,51.99999999999999,0.0,751.0635941879291,24.44,40.496811976574556,optimal
2024-04-10 14:30:00.001,116.0,114.0,116.0,2.0,0.0,114.0,0.0,0.0,0.0,751.0635941879291,24.44,40.496811976574556,optimal
2024-04-10 15:00:00.001,86.0,74.0,86.0,12.0,0.0,74.0,0.0,0.0,0.0,751.0635941879291,24.44,40.496811976574556,optimal
2024-04-10 15:30:00.001,44.0,60.0,44.0,40.496811976574556,0.0,60.00000000000001,0.0,56.49681197657456,0.0,778.7470320564506,24.44,40.496811976574556,optimal
2024-04-10 16:00:00.001,50.0,54.0,50.0,40.496811976574534,0.0,54.0,0.0,44.496811976574534,0.0,800.5504699249722,24.44,40.496811976574534,optimal
2024-04-10 16:30:00.001,118.0,36.0,118.0,40.496811976574534,0.0,36.0,0.0,0.0,42.35019186063823,779.375373994653,24.44,40.496811976574534,optimal
2024-04-10 17:00:00.001,122.0,16.0,122.0,40.49681197657453,0.0,15.999999999999993,7.105427357601002e-15,0.0,66.8399877790056,745.9553801051502,24.44,40.49681197657453,optimal
2024-04-10 17:30:00.001,92.0,2.0,92.0,40.49681197657453,0.0,2.0,0.0,0.0,50.51345716676069,720.6986515217699,24.44,40.49681197657453,optimal
2024-04-10 18:00:00.001,38.0,0.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,720.6986515217699,24.44,40.49681197657452,optimal
2024-04-10 18:30:00.001,56.0,0.0,56.0,40.49681197657452,0.0,0.0,0.0,0.0,15.819579615740286,712.7888617138997,24.44,40.49681197657452,optimal
2024-04-10 19:00:00.001,122.0,0.0,122.0,40.49681197657452,0.0,0.0,0.0,0.0,83.16651839125049,671.2056025182744,24.44,40.49681197657452,optimal
2024-04-10 19:30:00.001,88.0,0.0,88.0,40.49681197657452,0.0,0.0,0.0,0.0,48.472640840230085,646.9692820981594,24.44,40.49681197657452,optimal
2024-04-10 20:00:00.001,52.0,0.0,52.0,40.49681197657453,0.0,0.0,0.0,0.0,11.737946962679054,641.1003086168199,24.44,40.49681197657453,optimal
2024-04-10 20:30:00.001,60.0,0.0,60.0,40.49681197657453,0.0,0.0,0.0,0.0,19.901212268801505,631.1497024824191,24.44,40.49681197657453,optimal
2024-04-10 21:00:00.001,76.0,0.0,76.0,40.496811976574534,0.0,0.0,0.0,0.0,36.227742881046396,613.0358310418959,24.44,40.496811976574534,optimal
2024-04-10 21:30:00.001,60.0,0.0,60.0,40.496811976574534,0.0,0.0,0.0,0.0,19.901212268801498,603.0852249074951,24.44,40.496811976574534,optimal
2024-04-10 22:00:00.001,70.0,0.0,70.0,40.496811976574534,0.0,0.0,0.0,0.0,30.10529390145456,588.0325779567678,24.44,40.496811976574534,optimal
2024-04-10 22:30:00.001,82.0,0.0,82.0,40.496811976574534,0.0,0.0,0.0,0.0,42.35019186063823,566.8574820264487,24.44,40.496811976574534,optimal
