month,消費電力量,PV発電量,PV使用量,PV抑制量,買電量,平均SOC,最大買電電力
1,40195.0,20860.0,20785.9,74.1,19792.12,224.38,46.91829208284932
2,36671.0,25254.0,23206.42,2047.58,14124.89,195.57,50.47822293805788
3,49038.0,32398.0,30275.91,2122.09,18910.74,194.55,92.24845834041696
4,54890.0,26646.0,26039.72,606.28,29622.68,199.48,94.50150172148564
5,66616.0,27079.0,26894.03,184.97,40072.03,225.07,125.55336739028624
6,77588.0,24833.0,24833.0,0.0,53328.61,219.66,167.20716936041765
7,111215.0,25616.0,25616.0,0.0,86238.47,219.1,185.4983728773446
8,118228.0,18807.0,18807.0,0.0,99860.52,209.55,185.4983728773446
9,90874.0,24871.0,24871.0,-0.0,66401.13,213.41,161.60407254547118
10,72491.0,22019.0,22017.9,1.1,51128.0,207.63,124.94491829254234
11,49925.0,19486.0,19485.9,0.1,30814.53,222.13,67.09200791150835
12,45251.0,19764.0,19764.0,-0.0,25751.72,231.93,49.83278007307812
