month,消費電力量,PV発電量,PV使用量,PV抑制量,買電量,平均SOC,最大買電電力
1,40195.0,20860.0,20860.0,-0.0,19637.3,427.42,37.93997668259179
2,36671.0,25254.0,25254.0,-0.0,12419.87,382.06,35.16126080760408
3,49038.0,32398.0,32398.0,-0.0,16661.25,404.22,64.03555555555555
4,54890.0,26646.0,26646.0,-0.0,29286.73,447.47,80.26468565139632
5,66616.0,27079.0,27079.0,0.0,39654.78,477.71,105.92585365853776
6,77588.0,24833.0,24833.0,-0.0,53317.73,444.65,153.71470816495832
7,111215.0,25616.0,25616.0,0.0,86515.81,435.04,183.28281046429905
8,118228.0,18807.0,18807.0,-0.0,99695.4,418.78,171.06706076314106
9,90874.0,24871.0,24871.0,0.0,66478.82,430.34,143.06177807025793
10,72491.0,22019.0,22019.0,0.0,51567.73,443.74,117.28009373588093
11,49925.0,19486.0,19486.0,-0.0,30504.34,433.14,59.75340280457999
12,45251.0,19764.0,19764.0,0.0,25752.57,437.85,44.95723178461479
