month,消費電力量,PV発電量,PV使用量,PV抑制量,買電量,平均SOC,最大買電電力
1,40195.0,20860.0,20860.0,-0.0,19698.25,267.72,50.38626563592556
2,36671.0,25254.0,25254.0,0.0,12202.01,317.25,36.94369902895035
3,49038.0,32398.0,32398.0,0.0,16929.17,316.26,77.97457271965915
4,54890.0,26646.0,26646.0,-0.0,28960.76,286.18,107.97790531162453
5,66616.0,27079.0,27079.0,0.0,39997.25,266.21,162.0795918367347
6,77588.0,24833.0,24790.0,43.0,53114.05,244.36,197.09943773427736
7,111215.0,25616.0,25564.0,52.0,86035.68,302.43,228.21979466436912
8,118228.0,18807.0,18807.0,-0.0,99690.05,204.04,230.4882783487377
9,90874.0,24871.0,24871.0,-0.0,66548.94,235.26,194.0473879507278
10,72491.0,22019.0,22019.0,-0.0,50889.57,235.75,172.9356844381678
11,49925.0,19486.0,19486.0,-0.0,30894.7,207.28,86.32858393086337
12,45251.0,19764.0,19764.0,0.0,25781.85,217.11,61.07961286943747
