month,消費電力量,PV発電量,PV使用量,PV抑制量,買電量,平均SOC,最大買電電力
1,40195.0,20860.0,20860.0,-0.0,19725.69,399.36,38.55099437583352
2,36671.0,25254.0,25254.0,0.0,12360.19,403.98,29.726050678454893
3,49038.0,32398.0,32398.0,-0.0,16727.19,413.93,56.82209763434979
4,54890.0,26646.0,26646.0,0.0,29164.71,445.66,73.02871965682523
5,66616.0,27079.0,27079.0,-0.0,40018.36,473.31,105.04484126984124
6,77588.0,24833.0,24833.0,0.0,53105.36,418.31,121.78920811057296
7,111215.0,25616.0,25616.0,-0.0,86243.25,447.38,193.6930276347123
8,118228.0,18807.0,18807.0,0.0,99794.9,404.29,202.9854227405248
9,90874.0,24871.0,24871.0,0.0,66426.09,403.4,158.61418394874832
10,72491.0,22019.0,22019.0,-0.0,51057.94,401.05,150.0
11,49925.0,19486.0,19486.0,0.0,30915.75,371.35,70.44188993637879
12,45251.0,19764.0,19764.0,0.0,25796.52,406.68,45.381073579966056
