month,消費電力量,PV発電量,PV使用量,PV抑制量,買電量,平均SOC,最大買電電力
1,40195.0,20860.0,20860.0,-0.0,19736.91,338.44,41.69272473756511
2,36671.0,25254.0,25254.0,0.0,12346.26,366.5,29.793377891593813
3,49038.0,32398.0,32398.0,-0.0,16812.88,380.77,73.07885915907084
4,54890.0,26646.0,26646.0,-0.0,28979.09,395.19,88.25727745554694
5,66616.0,27079.0,27079.0,-0.0,39941.38,413.77,142.64275301957514
6,77588.0,24833.0,24833.0,-0.0,53340.41,358.64,125.97159109773244
7,111215.0,25616.0,25616.0,0.0,86203.09,399.82,200.97372497414892
8,118228.0,18807.0,18807.0,0.0,99789.68,362.07,218.0548283526797
9,90874.0,24871.0,24871.0,0.0,66699.86,361.1,191.72458396704224
10,72491.0,22019.0,22019.0,0.0,50890.33,365.91,160.24293476441778
11,49925.0,19486.0,19486.0,-0.0,30836.48,276.73,81.13038778543441
12,45251.0,19764.0,19764.0,-0.0,25796.66,295.85,52.04607956545824
