month,消費電力量,PV発電量,PV使用量,PV抑制量,買電量,平均SOC,最大買電電力
1,40195.0,20860.0,20860.0,-0.0,19698.47,419.4,37.939976682591805
2,36671.0,25254.0,25254.0,-0.0,12344.69,391.11,29.633112570244126
3,49038.0,32398.0,32398.0,-0.0,16696.89,414.35,62.863435089421245
4,54890.0,26646.0,26646.0,-0.0,29280.32,450.68,83.84671025333348
5,66616.0,27079.0,27079.0,-0.0,39621.08,499.33,105.92585365853664
6,77588.0,24833.0,24833.0,-0.0,53263.74,442.48,147.9571670930683
7,111215.0,25616.0,25616.0,-0.0,86517.38,447.5,187.89319204991685
8,118228.0,18807.0,18807.0,0.0,99695.73,432.03,175.85236558886558
9,90874.0,24871.0,24871.0,-0.0,66484.8,437.04,144.32332369018198
10,72491.0,22019.0,22019.0,-0.0,51370.1,408.69,121.3579610302105
11,49925.0,19486.0,19486.0,-0.0,30628.36,443.77,62.40480283302519
12,45251.0,19764.0,19764.0,-0.0,25773.22,440.0,44.86755375598819
